OBJECTID,STATION,DESCRIPTION,DEC_LAT,DEC_LONG,RIVER_MILE,LLID,RIVER_MILE_LAKE,LAKE_LLID,LAKE_NAME,GIS_Source_LAKE,GIS_STREAMNAME,GIS_Source,EPA_BEACH_ID,BEACH_NAME
1,13769,Dorena Lake at deepest point,43.783332999999999,-122.950000000000000,7.680000000000000,1230436438208,0.000000000000000,1229146437703,Dorena Lake,StreamNet,Row River,100K,,
3,24297,Nehalem River at River Mile 3.5,45.731672000000003,-123.863198000000000,4.500000000000000,1238951456889,0.000000000000000,,,,Nehalem River,,,
4,14018,Tenmile Lake at Templeton Arm,43.548110999999999,-124.118972000000000,0.000000000000000,,0.000000000000000,1241367435617,Tenmile Lake,StreamNet,Johnson Creek,100K,,
5,32953,"Columbia River at River Mile 15, 1.3 nautical miles southeast of Point Ellice",46.224626999999998,-123.850645000000000,11.060000000000000,1240483462464,0.000000000000000,,,,Columbia River,100K,,
7,13517,Bewley Creek at Bewley Creek Road,45.394722000000002,-123.839167000000000,1.200000000000000,1238283454068,0.000000000000000,,,,Bewley Creek,,,
8,26870,Timber Creek (Middle Fork Willamette River upstream of Fall Creek Dam),43.959406999999999,-122.575160000000000,0.900000000000000,1225781439720,0.000000000000000,,,,Timber Creek,,,
9,25851,North Fork Floras Creek at mouth,42.909999999999997,-124.319999999999990,0.100000000000000,1243207429083,0.000000000000000,,,,North Fork Floras Creek,,,
10,11479,John Day River upstream of Dayville,44.466330999999997,-119.470494000000000,212.300000000000010,1206499457318,0.000000000000000,,,,John Day River,,,
11,12999,Wallowa River 50 feet upstream of Wallowa STP outfall,45.577581000000002,-117.528657999999990,22.899999999999999,1177853457255,0.000000000000000,,,,Wallowa River,,,
12,34224,Siuslaw River at Dogwood Creek Road,43.887129999999999,-123.440380000000000,83.069999999999993,1241338440157,0.000000000000000,,,,Siuslaw River,100K,,
13,31585,"Siuslaw River, 0.3 nautical miles north of Marker #8",44.013092000000000,-124.131174000000000,0.250000000000000,1241338440157,0.000000000000000,,,,Siuslaw River,100K,,
14,13634,South Slough In Brown's Cove,43.323166999999998,-124.313833000000000,2.300000000000000,1243210433542,0.000000000000000,,,,South Slough,,,
15,23126,"Cooper Creek Reservoir near dam, depth 10 feet",43.379694000000001,-123.280250000000000,2.480000000000000,1233218433779,0.000000000000000,1232627433773,Cooper Creek Reservoir,StreamNet,Cooper Creek,100K,,
17,13686,Parker Slough at mouth,44.589193999999999,-124.012500000000000,0.300000000000000,1240181445913,0.000000000000000,,,,Parker Slough,,,
18,34859,"City of Gold Hill PWS Intake, Rogue River at RM 120.61",42.446500000000000,-123.043000000000010,120.739999999999990,1244292424210,0.000000000000000,,,,Rogue River,100K,,
19,21506,Jackson Creek above Falcon Creek (tributary of South Umpqua),42.997943999999997,-122.551833000000000,19.899999999999999,1228807429694,0.000000000000000,,,,Jackson Creek,,,
20,11596,Klamath River upstream of Klamath Strait,42.096277999999998,-121.859972000000000,246.060000000000000,1221913420005,0.000000000000000,,,,Klamath River,,,
21,26638,"Little Butte Creek, in Eagle Point at Mattie Brown Park on Royal Avenue (Rogue)",42.471829999999997,-122.799589999999990,4.980000000000000,1228754424514,0.000000000000000,,,,Little Butte Creek,100K,,
22,30480,Heceta Beach,44.037669999999999,-124.135180000000010,184.410000000000000,1240637462558,0.000000000000000,,,,Pacific Ocean,100K,OR298050,Heceta Beach
24,22310,Skipanon River 25 feet from Pacific Surimi Dock,46.172221999999998,-123.911389000000000,1.400000000000000,1239022461912,0.000000000000000,,,,Skipanon Waterway,,,
25,31499,Middle Neal Creek at Hwy 35,45.641767000000002,-121.514200000000000,2.010000000000000,1215257456640,0.000000000000000,,,,Neal Creek,,,
26,33706,Calamity Creek,43.980224999999997,-118.771370000000000,6.470000000000000,1186712439644,0.000000000000000,,,,Calamity Creek,,,
27,12547,Fifteenmile Creek 20 feet upstream of Dufur STP outfall,45.450861000000003,-121.120194000000000,29.500000000000000,1211264456185,0.000000000000000,,,,Fifteenmile Creek,,,
28,33772,"Willamina Creek at Hwy 18 in Willamina, OR",45.078000000000003,-123.485100000000000,0.450000000000000,1234765450782,0.000000000000000,,,,Willamina Creek,100K,,
29,26038,"Klamath River at Forebay of Keno Dam downstream of Keno, OR",42.135359999999999,-121.950080000000000,254.410000000000000,1221913420005,0.000000000000000,,,,Klamath River,,,
30,21793,Middle Creek at River Mile 23.22,43.256131000000003,-123.877919000000010,23.199999999999999,1240712431628,0.000000000000000,,,,Middle Creek,,,
31,31803,Sandy River tributary - ORLC03-R020,45.391300000000001,-121.804680000000000,0.720000000000000,1218184453945,0.000000000000000,,,,Unnamed Stream,,,
32,10509,Deschutes River at Cline Falls State Park,44.268138999999998,-121.253861000000000,143.500000000000000,1209151456389,0.000000000000000,,,,Deschutes River,,,
33,26084,Long Tom River at Bundy Road,44.385509999999996,-123.248560000000000,0.430000000000000,1232400443847,0.000000000000000,,,,Long Tom River,100K,,
34,30329,West Fork Neal Creek,45.510199999999998,-121.512770000000000,8.100000000000000,1214995455943,0.000000000000000,,,,West Fork Neal Creek,,,
35,32421,South Fork Coos River at River Mile 28,43.366720000000001,-123.862450000000000,23.760000000000002,1240991433776,0.000000000000000,,,,South Fork Coos River,100K,,
36,28291,Lost River at Harpold Road Bridge downstream of Big Springs,42.194372999999999,-121.407728000000010,43.579999999999998,1212146420011,0.000000000000000,,,,Lost River,,,
37,32939,"Columbia River at River Mile 21, 0.9 nautical miles east of red marker #4",46.207483000000003,-123.684482000000000,19.340000000000000,1240483462464,0.000000000000000,,,,Columbia River,100K,,
