OBJECTID,LLID,LAKE_LLID,AGENCY,AGENCY_ID,STATION,DEC_LAT,DEC_LONG,DESCRIPTION,QAQC1,QAQC2,Comments,RIVER_MILE,HUC_6,HU_6_Name,HUC_8,HU_8_Name,GIS_STREAMNAME,LAKE_NAME,GIS_Source,GIS_Source_LAKE,Estuary_2010,Sal_ppth,Est_Sal,Est_Final,Est_Comments,MATRIX
1,1224392437260,,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R002,43.64372,-122.03097,GOLD LAKE CREEK,Needs Secondary Review,Correct,Station uses Lake name. Stream name is Salt Creek,26.585752,170900,Willamette,17090001,Middle Fork Willamette,Salt Creek,,StreamNet 100K,,,,,Freshwater,,FW
2,1225284433034,,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R003,43.33037,-122.5088,BOULDER CREEK,Needs Secondary Review,Manually Revised with IRL tool,Snapped to wrong stream (Onion Creek),2.581547,171003,Southern Oregon Coastal,17100301,North Umpqua,Boulder Creek,,StreamNet 100K,,,,,Freshwater,,FW
3,1195161422385,,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R005,42.38248,-119.72121,GUANO_CK_HART_MTN,Needs Secondary Review,Correct,Different Spelling,19.885799,171200,Oregon Closed Basins,17120008,Guano,Guano Creek,,StreamNet 100K,,,,,Freshwater,,FW
4,1184603426702,,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R011,42.6779,-118.51607,WILLOW CREEK_NEAR HUNTERS CABIN,Needs Secondary Review,Correct,,3.148278,171200,Oregon Closed Basins,17120009,Alvord Lake,Willow Creek,,StreamNet 100K,,,,,Freshwater,,FW
5,1219896427215,,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R015,42.76583,-122.06024,ANNIE CREEK_WOOD RIVER,Needs Secondary Review,Correct,,5.724746,180102,Klamath,18010203,Upper Klamath Lake,Annie Creek,,StreamNet 100K,,,,,Freshwater,,FW
6,1191690426614,,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R020,42.53133,-119.68263,ROCK_CK_HART_MTN,Needs Secondary Review,Correct,,46.69868,171200,Oregon Closed Basins,17120008,Guano,Rock Creek,,StreamNet 100K,,,,,Freshwater,,FW
7,1198096424862,,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R021,42.47801,-119.78424,DEGARNO_CK_HART_MTN,Needs Secondary Review,Correct,,1.148903,171200,Oregon Closed Basins,17120007,Warner Lakes,De Garmo Canyon,,StreamNet 100K,,,,,Freshwater,,FW
8,1182718424975,,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R022,42.1915,-118.21293,WILLOW CK_NEAR WHITEHORSE RANCH,Needs Secondary Review,Correct,,23.994562,171200,Oregon Closed Basins,17120009,Alvord Lake,Willow Creek,,StreamNet 100K,,,,,Freshwater,,FW
9,1210810430862,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0515,42.94294,-121.2588,WF SILVER CREEK,Needs Secondary Review,Correct,,15.390282,171200,Oregon Closed Basins,17120005,Summer Lake,West Fork Silver Creek,,StreamNet 100K,,,,,Freshwater,,FW
10,1238692429883,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0520,43.01943,-123.82788,UPPER ROCK CREEK,Needs Secondary Review,Correct,,3.570426,171003,Southern Oregon Coastal,17100305,Coquille,Rock Creek,,StreamNet 100K,,Needs Further Review,0.028754,Freshwater,Freshwater,,FW
11,1193348441832,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0548,44.20752,-119.28981,NF DEER CREEK,Needs Secondary Review,Correct,,2.868222,170702,John Day,17070201,Upper John Day,North Fork Deer Creek,,StreamNet 100K,,,,,Freshwater,,FW
12,1216420451802,,EPA National Aquatic Resource Survey Data,NARS,WORP99-0551,45.1856,-121.6422,FROG CREEK TRIB.,Needs Secondary Review,Correct,,0.364375,170703,Deschutes,17070306,Lower Deschutes,Trib to Frog Creek,,StreamNet 100K,,,,,Freshwater,,FW
