"PARAMETER_KEY","Result","NAME","ABBREVIATION","Name.full","SAMPLE_DATE","SAMPLE_TIME","STATION_KEY","LOCATION_DESCRIPTION","SAMPLE_MATRIX","METHOD_DETECTION_LIMIT","METHOD_REPORTING_LIMIT","QA_QC_TYPE","STATUS","UNIT","SUBPROJECT_NAME","Result_clean"
5195,"107","Conductivity","Field","FieldConductivity",2005-03-01,1899-12-30 17:28:00,10413,"Rogue River at Huntley Park","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","107"
5195,"95","Conductivity","Field","FieldConductivity",2005-11-06,1899-12-30 08:55:00,10413,"Rogue River at Huntley Park","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","95"
5195,"132","Conductivity","Field","FieldConductivity",2006-01-11,1899-12-30 10:00:00,10413,"Rogue River at Huntley Park","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","132"
5195,"103","Conductivity","Field","FieldConductivity",2006-11-07,1899-12-30 12:00:00,10413,"Rogue River at Huntley Park","Surface water",NA,1,"Sample - Field Primary","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","103"
5195,"103","Conductivity","Field","FieldConductivity",2006-11-07,1899-12-30 12:01:00,10413,"Rogue River at Huntley Park","Surface water",NA,1,"Sample - Field Duplicate","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","103"
5195,"91","Conductivity","Field","FieldConductivity",2007-11-17,1899-12-30 09:59:00,10413,"Rogue River at Huntley Park","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","91"
5195,"103","Conductivity","Field","FieldConductivity",2008-04-22,1899-12-30 08:40:00,10413,"Rogue River at Huntley Park","Surface water",NA,1,"Sample","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","103"
5195,"121","Conductivity","Field","FieldConductivity",2002-10-21,1899-12-30 15:35:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,1,"Sample - Field Primary","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","121"
5229,"0","Salinity","Field","FieldSalinity",2002-11-08,1899-12-30 15:33:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,0.1,"Sample - Field Primary","A","ppth","Volunteer Monitoring Reports","0"
5195,"114","Conductivity","Field","FieldConductivity",2002-11-08,1899-12-30 15:33:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,1,"Sample - Field Primary","A","µmhos/cm @ 25° C","Volunteer Monitoring Reports","114"
5229,"0","Salinity","Field","FieldSalinity",2002-11-08,1899-12-30 15:34:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,0.1,"Sample - Field Duplicate","A","ppth","Volunteer Monitoring Reports","0"
5229,"0","Salinity","Field","FieldSalinity",2002-12-17,1899-12-30 14:40:00,10599,"Rogue River at bridge upstream of Agness","Surface water",NA,0.1,"Sample","A","ppth","Volunteer Monitoring Reports","0"
