OBJECTID,DESCRIPTION,DEC_LAT,DEC_LONG,RIVER_MILE,LLID,LAKE_LLID,LAKE_NAME,EPA_BEACH_ID,BEACH_NAME,AGENCY,AGENCY_ID,MATRIX,STATION,STREAM_NAME,LAKE_SOURCE,STREAM_SOURCE
1,Dorena Lake at deepest point,43.783333,-122.95,7.68,1230436438208,1229146437703,Dorena Lake,,,Oregon Department of Environmental Quality,ODEQ,FW,13769,Row River,StreamNet,100K
2,Nehalem River at River Mile 3.5,45.731672,-123.863198,4.5,1238951456889,,,,,Oregon Department of Environmental Quality,ODEQ,ES,24297,Nehalem River,,
3,Tenmile Lake at Templeton Arm,43.548111,-124.118972,,,1241367435617,Tenmile Lake,,,Oregon Department of Environmental Quality,ODEQ,FW,14018,Johnson Creek,StreamNet,100K
4,"Columbia River at River Mile 15, 1.3 nautical miles southeast of Point Ellice",46.224627,-123.850645,11.06,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,ES,32953,Columbia River,,100K
5,Bewley Creek at Bewley Creek Road,45.394722,-123.839167,1.2,1238283454068,,,,,Oregon Department of Environmental Quality,ODEQ,FW,13517,Bewley Creek,,
6,Timber Creek (Middle Fork Willamette River upstream of Fall Creek Dam),43.959407,-122.57516,0.9,1225781439720,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26870,Timber Creek,,
7,North Fork Floras Creek at mouth,42.91,-124.32,0.1,1243207429083,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25851,North Fork Floras Creek,,
8,John Day River upstream of Dayville,44.466331,-119.470494,212.3,1206499457318,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11479,John Day River,,
9,Wallowa River 50 feet upstream of Wallowa STP outfall,45.577581,-117.528658,22.9,1177853457255,,,,,Oregon Department of Environmental Quality,ODEQ,FW,12999,Wallowa River,,
10,Siuslaw River at Dogwood Creek Road,43.88713,-123.44038,83.07,1241338440157,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34224,Siuslaw River,,100K
11,"Siuslaw River, 0.3 nautical miles north of Marker #8",44.013092,-124.131174,0.25,1241338440157,,,,,Oregon Department of Environmental Quality,ODEQ,ES,31585,Siuslaw River,,100K
12,South Slough In Brown's Cove,43.323167,-124.313833,2.3,1243210433542,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13634,South Slough,,
