"OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate"
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0520:000802","Field Msr/Obs","Water",NA,"2000-08-02","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0520","VISIT_NO=""1"";SAMPLED=""Yes"";SAMP_LOC=""D"";DAY_SHIP=""1""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","Total",48,"uS/cm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0520:000802","Field Msr/Obs","Water",NA,"2000-08-02","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0520","VISIT_NO=""1"";SAMPLED=""Yes"";SAMP_LOC=""D"";DAY_SHIP=""1""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","",48.05,"uS/cm",NA,"Final",NA,"Calculated",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWFD:WORP99-0520:000802","Field Msr/Obs","Water",NA,"2000-08-02","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0520","VISIT_NO=""1"";SAMPLED=""Yes"";STAT_ID=""X"";TIME=""."";NAME_1=""THOMAS LOSSEN"";FORMS1=""Y"";NAME_2=""PAUL GILL"";GEOMOR2=""Y"";NAME_3=""JULIE BERRY"";GEOMOR3=""Y""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","Total",48,"uS/cm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0661:010702","Field Msr/Obs","Water",NA,"2001-07-02","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0661","VISIT_NO=""1"";SAMPLED=""Yes"";SAMP_LOC=""E"";DAY_SHIP=""7"";COM_LAB=""sample arrived at room temp""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","",53.57,"uS/cm",NA,"Final",NA,"Calculated",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0661:010702","Field Msr/Obs","Water",NA,"2001-07-02","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0661","VISIT_NO=""1"";SAMPLED=""Yes"";SAMP_LOC=""E"";DAY_SHIP=""7"";COM_LAB=""sample arrived at room temp""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","Total",53,"uS/cm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"CONDF=""H8""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWFD:WORP99-0661:010702","Field Msr/Obs","Water",NA,"2001-07-02","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0661","VISIT_NO=""1"";SAMPLED=""Yes"";STAT_ID=""X"";TIME=""11:43"";NAME_1=""JULIE BERRY"";GEOMOR1=""Y"";NAME_2=""THOMAS LOSSEN"";FORMS2=""Y"";NAME_3=""DAVID HUFF"";BIOMOR3=""Y"";NAME_4=""DAVID STEWART"";BIOMOR4=""Y""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","Total",49.2,"uS/cm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"COM_COND=""COND  = 49.2""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0739:010906","Field Msr/Obs","Water",NA,"2001-09-06","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0739","VISIT_NO=""1"";SAMPLED=""Yes"";SAMP_LOC=""D"";DAY_SHIP=""2""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","",81.7,"uS/cm",NA,"Final",NA,"Calculated",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0739:010906","Field Msr/Obs","Water",NA,"2001-09-06","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0739","VISIT_NO=""1"";SAMPLED=""Yes"";SAMP_LOC=""D"";DAY_SHIP=""2""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","Total",84,"uS/cm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"CONDF=""H8""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWFD:WORP99-0739:010906","Field Msr/Obs","Water",NA,"2001-09-06","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0739","VISIT_NO=""1"";SAMPLED=""Yes"";STAT_ID=""X"";TIME=""11:30"";NAME_1=""SARRA MOLLER"";FORMS1=""Y"";NAME_2=""CORDELL MANZ"";GEOMOR2=""Y"";NAME_3=""LISA HEWLETT"";BIOMOR3=""Y"";NAME_4=""SHANNON HUBLER"";BIOMOR4=""Y""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","Not Reported","Conductivity","Total",NA,"",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0748:010816","Field Msr/Obs","Water",NA,"2001-08-16","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0748","VISIT_NO=""1"";SAMPLED=""Yes"";SAMP_LOC=""K"";DAY_SHIP=""1"";COM_FLD=""K = X SITE""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","Total",86,"uS/cm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
