"StationUse_RecordID","STATION","DESCRIPTION","DEC_LAT","DEC_LONG","RIVER_MILE","LLID","STREAM_NAME","RIVER_MILE_LAKE","LAKE_LLID","LAKE_NAME","GIS_Source_LAKE","USE","DontUse_2010","RMLLID_Verified","GIS_Source","LOCATION_VERIFIED_2010","HUC_3rd_Field","Bio_Macro_Data","CASCADE_LAKES","MARINE_WATERS","STRATIFIED_Natural_Lake","ESTUARY","LAKE","MARINE_COASTAL_REC","Enterro_Data","DHS_Station_Type","DHS_Station_Type_Num","EPA_BEACH_ID","BEACH_NAME","ELEVATION_FT","WRD_Basin","Comments","USE_2004","Reviewed_Permit_Writers","RIVER_MILE_2004","LLID_2004","USE_Bacteria","Salinity_Max","Conductivity_Max","PondResSmall"
6102,24374,"DEQ2012, 54858 Maple Drive (MW2)",43.792389,-121.464583,0,NA,"Little Deschutes River",NA,NA,NA,NA,0,1,0,NA,0,"Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4180,"Deschutes","Groundwater.",0,0,NA,NA,0,NA,173,0
6103,29034,"Scoggins Creek near Scoggins Creek Road mile marker 2.0",45.5154,-123.2633,9.7,1231261454600,"Scoggins Creek",NA,NA,NA,NA,1,0,0,NA,0,"Willamette",1,0,0,0,0,0,0,0,NA,NA,NA,NA,561,"Willamette",NA,1,0,9.7,1231261454600,1,NA,78,0
6104,10703,"Little Deschutes River upstream of Gilchrist Mill Pond",43.463472,-121.696889,61.1,1214536438546,"Little Deschutes River",NA,NA,NA,NA,1,0,0,NA,0,"Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4449,"Deschutes",NA,1,0,61.1,1214536438546,1,NA,60,0
6105,10952,"South Yamhill River at Hwy 18/22 (Willamina)",45.052167,-123.4975,44.9,1231445452258,"South Yamhill River",NA,NA,NA,NA,1,0,0,NA,0,"Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,243,"Willamette",NA,1,0,44.9,1231445452258,1,NA,121,0
6106,30623,"Welcome Creek",44.87834,-122.0416,0.3,1220364448790,"Welcome Creek",NA,NA,NA,NA,1,0,0,NA,0,"Willamette",1,0,0,0,0,0,0,0,NA,NA,NA,NA,2756,"Willamette",NA,1,0,0.3,1220364448790,1,NA,66,0
6107,13643,"Larson Creek at tide gate (outside)",43.462528,-124.1935,0.2,1241983434618,"Larson Slough",NA,NA,NA,NA,1,0,0,NA,0,"Southern Oregon Coastal",0,0,0,0,1,0,0,0,NA,NA,NA,NA,10,"South Coast","Estuary Source 4.",1,0,0.2,1241983434618,1,30,2300,0
6108,25307,"King Creek, Coquille",43.049945,-124.01726,1.3,1240291430343,"King Creek",NA,NA,NA,NA,1,0,0,NA,0,"Southern Oregon Coastal",1,0,0,0,0,0,0,0,NA,NA,NA,NA,249,"South Coast",NA,1,0,1.3,1240291430343,1,NA,99,0
6109,32143,"North Fork John Day River 5 miles upstream of Monument, OR",44.88203,-119.4035,21.68,1196393447553,"North Fork John Day River",NA,NA,NA,NA,1,0,1,"100K",0,"John Day",0,0,0,0,0,0,0,0,NA,NA,NA,NA,2038,"John Day",NA,0,0,0,NA,1,NA,145,0
6110,22651,"Mohawk River at Weyco Gate",44.254167,-122.7605,20,1229753440859,"Mohawk River",NA,NA,NA,NA,1,0,0,NA,0,"Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,801,"Willamette",NA,1,0,20,1229753440859,1,NA,70.1,0
6111,25645,"Yaquina Bay mid-channel near US Coast Guard Res.",44.627374,-124.051472,0.9,1240830446097,"Yaquina River",NA,NA,NA,NA,1,0,0,NA,0,"Northern Oregon Coastal",0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,"Mid Coast","Estuary Source 17.",1,0,0.9,1240830446097,1,32.4,NA,0
6112,25894,"DEQ2135, 55730 Blue Eagle Road",43.824467,-121.433967,0,NA,"",NA,NA,NA,NA,0,1,0,NA,0,"Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4180,"Deschutes","Groundwater.",0,0,NA,NA,0,NA,122,0
