OBJECTID,LLID,LAKE_LLID,AGENCY,AGENCY_ID,STATION,DEC_LAT,DEC_LONG,DESCRIPTIO,QAQC1,QAQC2,Comments,RIVER_MILE,HUC_6,HU_6_Name,HUC_8,HU_8_Name,GIS_STREAM,LAKE_NAME,GIS_Source,GIS_Sour_1
1,1238692429880.00000000000,0.00000000000,EPA National Aquatic Resource Survey Data,NARS,WORP99-0520,43.01943000000,-123.82788000000,UPPER ROCK CREEK,Needs Secondary Review,Correct,,3.57042613636,171003,Southern Oregon Coastal,17100305,Coquille,Rock Creek,,StreamNet 100K,
2,1236444452500.00000000000,0.00000000000,EPA National Aquatic Resource Survey Data,NARS,WORP99-0813,45.20090000000,-123.65020000000,NIAGARA CREEK NEAR NESTUCCA RIVER,Needs Secondary Review,Correct,,3.85263446970,171002,Northern Oregon Coastal,17100203,Wilson-Trusk-Nestuccu,Niagara Creek,,StreamNet 100K,
3,1234876453010.00000000000,0.00000000000,EPA National Aquatic Resource Survey Data,NARS,WORP99-0879,45.30098000000,-123.47628000000,NESTUCCA RIVER TRIBUTARY,Needs Secondary Review,Correct,,0.54286174242,171002,Northern Oregon Coastal,17100203,Wilson-Trusk-Nestuccu,Nestucca River Trib,,StreamNet 100K,
4,1240483462460.00000000000,0.00000000000,United State Geological Survey,USGS,14222890,45.91511430000,-122.81621540000,"COLUMBIA RIVER NR COLUMBIA CITY,OREG.",Needs Secondary Review,Correct,,79.45695833330,170800,Lower Columbia,17080003,Lower Columbia-Clatskanie,Columbia River,,StreamNet 100K,
5,1240483462460.00000000000,0.00000000000,United State Geological Survey,USGS,14246900,46.18122140000,-123.18345390000,"COLUMBIA RIVER @ BEAVER ARMY TERMINAL NR QUINCY,OR",Needs Secondary Review,Correct,,50.75780492420,170800,Lower Columbia,17080003,Lower Columbia-Clatskanie,Columbia River,,StreamNet 100K,
6,1234686433660.00000000000,0.00000000000,United State Geological Survey,USGS,432454123124801,43.41484100000,-123.21451670000,"CALAPOOYA CREEK NEAR NONPAREIL, OR",Needs Secondary Review,Correct,,22.00720075760,171003,Southern Oregon Coastal,17100303,Umpqua,Calapooya Creek,,StreamNet 100K,
7,1240483462460.00000000000,0.00000000000,United State Geological Survey,USGS,461206123564000,46.20166670000,-123.94444440000,"COLUMBIA RIVER NEAR POINT ADAMS, OR",Needs Secondary Review,Correct,,6.39045075758,170800,Lower Columbia,17080006,Lower Columbia,Columbia River,,StreamNet 100K,
8,1240483462460.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36044,46.09367000000,-122.94117000000,Columbia River near Rainier outfall,Needs Secondary Review,Manually Revised with IRL tool,,64.70177651520,170800,Lower Columbia,17080003,Lower Columbia-Clatskanie,Columbia River,,StreamNet 100K,
9,1238951456890.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36346,45.85406000000,-123.18764000000,"Nehalem River, 50 feet US of Vernonia outfall",Needs Secondary Review,Correct,,92.24297348480,171002,Northern Oregon Coastal,17100202,Nehalem,Nehalem River,,StreamNet 100K,
10,1232215461210.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36045,46.10725000000,-123.20602000000,"Clatskanie River, 400 feet US of Clatskanie outfall",Needs Secondary Review,Correct,,1.25049621212,170800,Lower Columbia,17080003,Lower Columbia-Clatskanie,Clatskanie River,,StreamNet 100K,
11,1232215461210.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36047,46.10847000000,-123.20656000000,"Clatskanie River, 100 ft DS of Clatskanie outfall",Needs Secondary Review,Correct,,1.15661174242,170800,Lower Columbia,17080003,Lower Columbia-Clatskanie,Clatskanie River,,StreamNet 100K,
12,1233829461490.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36420,46.13707000000,-123.37208000000,"Westport Slough, 200 feet US of Westport WWTP",Needs Secondary Review,Correct,,1.16676704545,170800,Lower Columbia,17080003,Lower Columbia-Clatskanie,Westport Slough,,StreamNet 100K,
13,1239555451830.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36436,45.27773000000,-123.73423000000,Nestucca River D/S of East Creek at boat ramp,Needs Secondary Review,Correct,,22.72246590910,171002,Northern Oregon Coastal,17100203,Wilson-Trusk-Nestuccu,Nestucca River,,StreamNet 100K,
14,1239077460950.00000000000,1239008460800.00000000000,Oregon Department of Environmental Quality,ODEQ,13904,46.09510000000,-123.90560000000,Cullaby Lake at N end of fishing dock,Needs Secondary Review,Correct,Added Lake LLID,0.00330113636,170800,Lower Columbia,17080006,Lower Columbia,Cullaby Lake,Cullaby Lake,StreamNet 100K,StreamNet 100K
15,1240230449270.00000000000,0.00000000000,Oregon Department of Environmental Quality,ODEQ,36299,44.72644000000,-123.93118000000,"Siletz River, 100 ft U/S of Siletz STP outfall",Needs Secondary Review,Correct,,36.92973106060,171002,Northern Oregon Coastal,17100204,Siletz-Yaquina,Siletz River,,StreamNet 100K,
