STATION_KEY,QA_QC_TYPE,SAMPLE_DATE,NAME,ABBREVIATION,Result_clean,UNIT,SAMPLE_MATRIX,METHOD_REPORTING_LIMIT,LOCATION_DESCRIPTION
10332,Sample,8/20/2008,Mercury,NA,0.34,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at SP&S RR Bridge (Portland)
10332,Sample,8/20/2008,Mercury,NA,0.61,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at SP&S RR Bridge (Portland)
10332,Sample,9/9/2008,Mercury,NA,0.23,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at SP&S RR Bridge (Portland)
10332,Sample,9/9/2008,Mercury,NA,0.31,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at SP&S RR Bridge (Portland)
10332,Sample,9/9/2008,Mercury,NA,0.39,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at SP&S RR Bridge (Portland)
10332,Sample,9/9/2008,Mercury,NA,0.51,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at SP&S RR Bridge (Portland)
10332,Sample,9/9/2008,Mercury,NA,0.36,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at SP&S RR Bridge (Portland)
10344,Sample,9/22/2008,Mercury,NA,0.8,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/22/2008,Mercury,NA,0.33,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/22/2008,Mercury,NA,0.8,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/22/2008,Mercury,NA,0.63,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/22/2008,Mercury,NA,0.63,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/22/2008,Mercury,NA,0.23,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/22/2008,Mercury,NA,0.26,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/8/2010,Mercury,NA,0.11,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/8/2010,Mercury,NA,0.71,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/8/2010,Mercury,NA,0.34,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/8/2010,Mercury,NA,1.57,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/8/2010,Mercury,NA,0.91,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/8/2010,Mercury,NA,0.13,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/8/2010,Mercury,NA,0.11,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/8/2010,Mercury,NA,0.25,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/8/2010,Mercury,NA,0.26,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/8/2010,Mercury,NA,1.23,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10344,Sample,9/8/2010,Mercury,NA,1.15,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Wheatland Ferry
10355,Sample,9/24/2008,Mercury,NA,1.64,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,9/24/2008,Mercury,NA,0.76,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,9/24/2008,Mercury,NA,0.93,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,9/24/2008,Mercury,NA,0.53,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,9/24/2008,Mercury,NA,0.51,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,9/24/2008,Mercury,NA,0.45,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
10355,Sample,10/6/2009,Mercury,NA,0.66,mg/Kg wet,"Fillet, no skin",0.03,Willamette River at Hwy 99E (Harrisburg)
