STATION_KEY,LOCATION_DESCRIPTION
10668,Middle Fork Willamette River at Hellsgate Bridge
10671,Little Fall Creek
10708,Willow Creek at Heppner Junction
10908,Salmon Creek at Hwy 58 (Oakridge)
10913,North Fork Willamette River at mouth (Oakridge)
11276,Coast Fork Willamette downstream of Cottage Grove STP
11277,Coast Fork Willamette at Main Street (Cottage Grove)
11288,Silk Creek at South River Road (Cottage Grove)
11375,Rogue River at Casey State Park
12015,Butter Creek at Old Stanfield Road (Bucks Corner)
18890,Camus Swale unnamed tributary 100 feet downstream of Creswell STP
26746,"Mosby Creek near mouth (tributary to Row River, to Coast Fork Willamette)"
28010,Salt Creek at mouth
28608,Middle Fork Willamette River below Hills Creek Reservoir
34086,Muddy Fork Sandy River at river mile 0.3 off 1828 road
35348,21305 SW Koehler Rd Beaverton OR
36026,Shark Creek at Arch Cape Water District's source water intake
36445,Wildhorse Creek at McCormmach Rd
36828,N Tenmile Lake Trib Near Hideaway Rd 
37292,Muddy Cr Trib (RM 51) West of Monaco Coach
37293,Muddy Cr Trib (RM 51) at Masonic Cemetery Rd
37294,Silk Cr at Lorane Rd
37295,Camas Swale Cr at Sher Khan Rd
37296,Camas Swale Cr above Truman Cr at Camas Swale Rd
37297,Hill Cr at Dale Kuni Rd
37299,Fall Cr at Pengra Rd
37300,Gettings Cr at Sears Rd
37301,Gettings Cr at Meyer Rd
37302,Hill Cr at Mouth
37303,Flat Cr Trib (RM 3.6) at Junction City W 18th Ave 600 ft East of Rose St
37305,Flat Cr. Trib (RM 3.6) at W 18th Ave 200 ft East of Rose St
37306,Flat Cr Trib (RM 3.6) above Junction City at E 1st St
37307,Flat Cr Trib (RM 3.6) above Junction City at Hwy 99
37308,Little Fall Cr below Little Fall Cr Picnic Area
37309,Dexter Lake Trib Near Mouth at End of West 2nd St in Lowell
37310,Dexter Lake Trib above Lowell below W 7th St
37311,Mosby Cr below Fall Cr
37312,Middle Fk Willamette Below Dexter Lake
37313,Middle Fork Willamette at SUB Treatment Plant
37314,West Fk Coyote Cr Trib to Trib (RM 2.08) on East Bolton Rd Veneta
37315,West Fk Coyote Cr Trib to Trib (RM 2.08) at Territorial Rd and Strawberry Ln Veneta
37316,Wallace Cr at Mouth
37317,McLane Cr at Mouth
37318,North Fk Middle Fk Willamette above Short Cr
