"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasureMeasureValue","DrainageAreaMeasureMeasureUnitCode","ContributingDrainageAreaMeasureMeasureValue","ContributingDrainageAreaMeasureMeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasureMeasureValue","HorizontalAccuracyMeasureMeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasureMeasureValue","VerticalMeasureMeasureUnitCode","VerticalAccuracyMeasureMeasureValue","VerticalAccuracyMeasureMeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasureMeasureValue","WellDepthMeasureMeasureUnitCode","WellHoleDepthMeasureMeasureValue","WellHoleDepthMeasureMeasureUnitCode","site_only","LatChar","LonChar"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W001","W001","River/Stream","Rivermile 2",17090012,NA,"",NA,NA,"45.632092299999996","-122.7846837",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","4.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W001","45.6320923","-122.7846837"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W002","W002","River/Stream","Rivermile 2.2",17090012,NA,"",NA,NA,"45.6318524","-122.79323119999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"",NA,"","","","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W002","45.6318524","-122.7932312"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W003","W003","River/Stream","Rivermile 3",17090012,NA,"",NA,NA,"45.617740599999998","-122.7965521",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","7.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W003","45.6177406","-122.7965521"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W004","W004","River/Stream","Rivermile 3.7",17090012,NA,"",NA,NA,"45.611598899999997","-122.77621550000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","4.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W004","45.6115989","-122.7762155"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W005","W005","River/Stream","Rivermile 3.9",17090012,NA,"",NA,NA,"45.606971199999997","-122.78408039999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W005","45.6069712","-122.7840804"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W006","W006","River/Stream","Rivermile 4",17090012,NA,"",NA,NA,"45.605530600000002","-122.7871889",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","6.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W006","45.6055306","-122.7871889"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W007","W007","River/Stream","Rivermile 4.4",17090012,NA,"",NA,NA,"45.6042889","-122.7733022",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","2.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W007","45.6042889","-122.7733022"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W008","W008","River/Stream","Rivermile 4.6",17090012,NA,"",NA,NA,"45.600937199999997","-122.7726555",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W008","45.6009372","-122.7726555"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W009","W009","River/Stream","Rivermile 5.6",17090012,NA,"",NA,NA,"45.585640599999998","-122.76845900000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W009","45.5856406","-122.768459"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-LW2-W010","W010","River/Stream","Rivermile 5.7",17090012,NA,"",NA,NA,"45.5872606","-122.7644473",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","2.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA,"R10PORTLANDHARBOR-LW2-W010","45.5872606","-122.7644473"
