"site_only","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasureMeasureValue","DrainageAreaMeasureMeasureUnitCode","ContributingDrainageAreaMeasureMeasureValue","ContributingDrainageAreaMeasureMeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasureMeasureValue","HorizontalAccuracyMeasureMeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasureMeasureValue","VerticalMeasureMeasureUnitCode","VerticalAccuracyMeasureMeasureValue","VerticalAccuracyMeasureMeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasureMeasureValue","WellDepthMeasureMeasureUnitCode","WellHoleDepthMeasureMeasureValue","WellHoleDepthMeasureMeasureUnitCode","LatChar","LonChar"
"11NPSWRD-CRLA_LTLMP_ST13","11NPSWRD","National Park Service Water Resources Division","11NPSWRD-CRLA_LTLMP_ST13","Crater Lake Station 13, Long Term Monitoring Program","Lake","The site is within the boundary of Crater Lake National Park and is located near the center of a one mile by one mile square oriented north-south on the northeast portion of Crater Lake in one of the deep basins.",18010201,NA,"",NA,"","42.955832999999998","-122.083",24000,"","","Interpolation - Digital Map Source (TIGER)","WGS84","6178.0","ft             ",NA,"","Topographic Map Interpolation","NGVD29      ","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,"42.955833","-122.083"
"11NPSWRD-ORCA_L1_LCC","11NPSWRD","National Park Service Water Resources Division","11NPSWRD-ORCA_L1_LCC","Lake Creek at Culvert","River/Stream","Station part of Level I Baseline Water Quality Report for Oregon Caves National Monument.  Latitude and longitude coordinates are as converted from the UTM coordinates provided on the report's data CD.",17100311,NA,"",NA,"","42.104794200000001","-123.3897236",NA,"","","GPS-Unspecified","NAD83","0.0","ft",NA,"","","Unknown","US",41,"33",NA,NA,NA,NA,NA,NA,NA,NA,"42.1047942","-123.3897236"
"11NPSWRD-ORCA_L1_LCCB","11NPSWRD","National Park Service Water Resources Division","11NPSWRD-ORCA_L1_LCCB","Lower Cave Creek at Bridge","River/Stream","Station part of Level I Baseline Water Quality Report for Oregon Caves National Monument.  Latitude and longitude coordinates are as converted from the UTM coordinates provided on the report's data CD.",17100311,NA,"",NA,"","42.098097199999998","-123.4118496",NA,"","","GPS-Unspecified","NAD83","0.0","ft",NA,"","","Unknown","US",41,"33",NA,NA,NA,NA,NA,NA,NA,NA,"42.0980972","-123.4118496"
"11NPSWRD-ORCA_L1_LCCC","11NPSWRD","National Park Service Water Resources Division","11NPSWRD-ORCA_L1_LCCC","Lower Cave Creek at Culvert","River/Stream","Station part of Level I Baseline Water Quality Report for Oregon Caves National Monument.  Latitude and longitude coordinates are as converted from the UTM coordinates provided on the report's data CD.",17100311,NA,"",NA,"","42.098702699999997","-123.40842499999999",NA,"","","GPS-Unspecified","NAD83","0.0","ft",NA,"","","Unknown","US",41,"33",NA,NA,NA,NA,NA,NA,NA,NA,"42.0987027","-123.408425"
"11NPSWRD-ORCA_L1_LCCE","11NPSWRD","National Park Service Water Resources Division","11NPSWRD-ORCA_L1_LCCE","Lower Cave Creek at Entrance","River/Stream","Station part of Level I Baseline Water Quality Report for Oregon Caves National Monument.  Latitude and longitude coordinates are as converted from the UTM coordinates provided on the report's data CD.",17100311,NA,"",NA,"","42.098103899999998","-123.4074598",NA,"","","GPS-Unspecified","NAD83","0.0","ft",NA,"","","Unknown","US",41,"033",NA,NA,NA,NA,NA,NA,NA,NA,"42.0981039","-123.4074598"
"11NPSWRD-ORCA_L1_UCC","11NPSWRD","National Park Service Water Resources Division","11NPSWRD-ORCA_L1_UCC","Upper Cave Creek","River/Stream","Station part of Level I Baseline Water Quality Report for Oregon Caves National Monument.  Latitude and longitude coordinates are as converted from the UTM coordinates provided on the report's data CD.",17100311,NA,"",NA,"","42.096131999999997","-123.4047625",NA,"","","GPS-Unspecified","NAD83","0.0","ft",NA,"","","Unknown","US",41,"033",NA,NA,NA,NA,NA,NA,NA,NA,"42.096132","-123.4047625"
"FW08OR001","NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-FW08OR001","Wind Creek","River/Stream","FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""2nd"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""9/14/2008"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""6.208"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 for description of fie",17100303,NA,"",NA,"","43.649590000000003","-124.0954",NA,"","","GPS-Unspecified","WGS84",NA,"",NA,"","","","US",41,"019",NA,NA,NA,NA,NA,NA,NA,NA,"43.64959","-124.0954"
"FW08OR002","NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-FW08OR002","Hinton Creek","River/Stream","FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""3rd"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""7/22/2008"";FW_ECO9=""XER"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""79.316"";RT_NRSA_CAT=""Most Disturbed"" See NRSA publication EPA841-B-06-002 for description of fields.",17070104,NA,"",NA,"","45.368189999999998","-119.4461",NA,"","","GPS-Unspecified","WGS84",NA,"",NA,"","","","US",41,"049",NA,NA,NA,NA,NA,NA,NA,NA,"45.36819","-119.4461"
"FW08OR003","NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-FW08OR003","West Fork Silver Creek","River/Stream","FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""1st"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""9/24/2009"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""6.415"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 for description of fie",17120005,NA,"",NA,"","42.943080000000002","-121.25917",NA,"","","GPS-Unspecified","WGS84",NA,"",NA,"","","","US",41,"037",NA,NA,NA,NA,NA,NA,NA,NA,"42.94308","-121.25917"
"FW08OR004","NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-FW08OR004","Johnny Creek","River/Stream","FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""2nd"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""7/23/2008"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""19.27"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 for description of fie",17070201,NA,"",NA,"","44.62321","-119.63838",NA,"","","GPS-Unspecified","WGS84",NA,"",NA,"","","","US",41,"023",NA,NA,NA,NA,NA,NA,NA,NA,"44.62321","-119.63838"
