site_only,OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasureMeasureValue,DrainageAreaMeasureMeasureUnitCode,ContributingDrainageAreaMeasureMeasureValue,ContributingDrainageAreaMeasureMeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasureMeasureValue,HorizontalAccuracyMeasureMeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasureMeasureValue,VerticalMeasureMeasureUnitCode,VerticalAccuracyMeasureMeasureValue,VerticalAccuracyMeasureMeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasureMeasureValue,WellDepthMeasureMeasureUnitCode,WellHoleDepthMeasureMeasureValue,WellHoleDepthMeasureMeasureUnitCode,LatChar,LonChar
CRLA_LTLMP_ST13,11NPSWRD,National Park Service Water Resources Division,11NPSWRD-CRLA_LTLMP_ST13,"Crater Lake Station 13, Long Term Monitoring Program",Lake,The site is within the boundary of Crater Lake National Park and is located near the center of a one mile by one mile square oriented north-south on the northeast portion of Crater Lake in one of the deep basins.,18010201,NA,,NA,,42.955833,-122.083,24000,,,Interpolation - Digital Map Source (TIGER),WGS84,6178,ft             ,NA,,Topographic Map Interpolation,NGVD29      ,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,42.955833,-122.083
ORCA_L1_LCC,11NPSWRD,National Park Service Water Resources Division,11NPSWRD-ORCA_L1_LCC,Lake Creek at Culvert,River/Stream,Station part of Level I Baseline Water Quality Report for Oregon Caves National Monument.  Latitude and longitude coordinates are as converted from the UTM coordinates provided on the report's data CD.,17100311,NA,,NA,,42.1047942,-123.3897236,NA,,,GPS-Unspecified,NAD83,0,ft,NA,,,Unknown,US,41,33,NA,NA,NA,NA,NA,NA,NA,NA,42.1047942,-123.3897236
ORCA_L1_LCCB,11NPSWRD,National Park Service Water Resources Division,11NPSWRD-ORCA_L1_LCCB,Lower Cave Creek at Bridge,River/Stream,Station part of Level I Baseline Water Quality Report for Oregon Caves National Monument.  Latitude and longitude coordinates are as converted from the UTM coordinates provided on the report's data CD.,17100311,NA,,NA,,42.0980972,-123.4118496,NA,,,GPS-Unspecified,NAD83,0,ft,NA,,,Unknown,US,41,33,NA,NA,NA,NA,NA,NA,NA,NA,42.0980972,-123.4118496
ORCA_L1_LCCC,11NPSWRD,National Park Service Water Resources Division,11NPSWRD-ORCA_L1_LCCC,Lower Cave Creek at Culvert,River/Stream,Station part of Level I Baseline Water Quality Report for Oregon Caves National Monument.  Latitude and longitude coordinates are as converted from the UTM coordinates provided on the report's data CD.,17100311,NA,,NA,,42.0987027,-123.408425,NA,,,GPS-Unspecified,NAD83,0,ft,NA,,,Unknown,US,41,33,NA,NA,NA,NA,NA,NA,NA,NA,42.0987027,-123.408425
ORCA_L1_LCCE,11NPSWRD,National Park Service Water Resources Division,11NPSWRD-ORCA_L1_LCCE,Lower Cave Creek at Entrance,River/Stream,Station part of Level I Baseline Water Quality Report for Oregon Caves National Monument.  Latitude and longitude coordinates are as converted from the UTM coordinates provided on the report's data CD.,17100311,NA,,NA,,42.0981039,-123.4074598,NA,,,GPS-Unspecified,NAD83,0,ft,NA,,,Unknown,US,41,33,NA,NA,NA,NA,NA,NA,NA,NA,42.0981039,-123.4074598
ORCA_L1_UCC,11NPSWRD,National Park Service Water Resources Division,11NPSWRD-ORCA_L1_UCC,Upper Cave Creek,River/Stream,Station part of Level I Baseline Water Quality Report for Oregon Caves National Monument.  Latitude and longitude coordinates are as converted from the UTM coordinates provided on the report's data CD.,17100311,NA,,NA,,42.096132,-123.4047625,NA,,,GPS-Unspecified,NAD83,0,ft,NA,,,Unknown,US,41,33,NA,NA,NA,NA,NA,NA,NA,NA,42.096132,-123.4047625
FW08OR001,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR001,Wind Creek,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""2nd"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""9/14/2008"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""6.208"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 for description of fie",17100303,NA,,NA,,43.64959,-124.0954,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,43.64959,-124.0954
FW08OR002,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR002,Hinton Creek,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""3rd"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""7/22/2008"";FW_ECO9=""XER"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""79.316"";RT_NRSA_CAT=""Most Disturbed"" See NRSA publication EPA841-B-06-002 for description of fields.",17070104,NA,,NA,,45.36819,-119.4461,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,49,NA,NA,NA,NA,NA,NA,NA,NA,45.36819,-119.4461
FW08OR003,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR003,West Fork Silver Creek,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""1st"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""9/24/2009"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""6.415"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 for description of fie",17120005,NA,,NA,,42.94308,-121.25917,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,37,NA,NA,NA,NA,NA,NA,NA,NA,42.94308,-121.25917
FW08OR004,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR004,Johnny Creek,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""2nd"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""7/23/2008"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""19.27"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 for description of fie",17070201,NA,,NA,,44.62321,-119.63838,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,23,NA,NA,NA,NA,NA,NA,NA,NA,44.62321,-119.63838
FW08OR005,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR005,Sawmill Creek,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""2nd"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""7/21/2008"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""23.822"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 for description of fi",17050203,NA,,NA,,44.89845,-117.42406,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,1,NA,NA,NA,NA,NA,NA,NA,NA,44.89845,-117.42406
FW08OR006,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR006,Siuslaw River,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""1st"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""9/15/2008"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""325.168"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 for description of f",17100206,NA,,NA,,43.87567,-123.50243,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,43.87567,-123.50243
FW08OR008,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR008,Dry Creek,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""1st"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""7/17/2008"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""4.316"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 for description of fie",17060102,NA,,NA,,45.11451,-116.85638,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,63,NA,NA,NA,NA,NA,NA,NA,NA,45.11451,-116.85638
FW08OR009,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR009,Tributary to Nestucca River,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""1st"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""7/9/2008"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""6.377"";RT_NRSA_CAT=""Least Disturbed"" See NRSA publication EPA841-B-06-002 for description of fields.",17100203,NA,,NA,,45.30021,-123.4774,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,57,NA,NA,NA,NA,NA,NA,NA,NA,45.30021,-123.4774
FW08OR010,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR010,Fish Creek,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";STRAHLERORDER=""1st"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""8/3/2008"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""2.837"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 for description of fiel",17100301,NA,,NA,,43.09695,-122.41151,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,43.09695,-122.41151
FW08OR011,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR011,Siuslaw River,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";INDEXVIS_FTIS=""YES"";STRAHLERORDER=""5th"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""7/7/2009"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""669.389"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 f",17100206,NA,,NA,,43.99118,-123.66463,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,43.99118,-123.66463
FW08OR012,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR012,Sandy River,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";INDEXVIS_FTIS=""YES"";STRAHLERORDER=""5th"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""7/13/2009"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""685.76"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 f",17080001,NA,,NA,,45.3952778,-122.1497222,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,45.3952778,-122.1497222
FW08OR014,NARS_WQX,EPA National Aquatic Resources Survey,NARS_WQX-FW08OR014,McKenzie River,River/Stream,"FW_ECO3=""WMTNS"";URBAN=""NonUrban"";INDEXVIS_FTIS=""YES"";STRAHLERORDER=""5th"";VISIT_NO=""1"";INDEX_VISIT=""YES"";DATE_COL=""8/3/2009"";FW_ECO9=""WMT"";EPA_REG=""10"";NHDWAT_AREA_SQKM=""1098.134"";RT_NRSA_CAT=""Intermediate Disturbance"" See NRSA publication EPA841-B-06-002 ",17090004,NA,,NA,,44.16746,-122.24958,NA,,,GPS-Unspecified,WGS84,NA,,NA,,,,US,41,39,NA,NA,NA,NA,NA,NA,NA,NA,44.16746,-122.24958
