"STATION_KE","LOCATION_D","Latitude","Longitude","Elevationm","DATUM","FirstSampl","LastSample","SW","GW","LD","AR"
36382,"Pine Creek (Powder Basin) @ State Hwy. 71 near Oxbow, OR",44.9718,-116.8563,515,"Assumed NAD83","04/12/2011","11/16/2012",488,0,0,0
36383,"Pine Creek (Powder Basin) @ Hwy. 414 in Halfway, OR",44.8773,-117.0992,801,"Assumed NAD83","04/13/2011","11/08/2012",115,0,0,0
36194,"Powder River Arm of Brownlee Reservoir @ Hewitt Pk. Boat Ramp",44.7594,-117.1218,640,"Assumed NAD83","04/27/2010","03/09/2011",357,0,0,0
11857,"Powder River at Snake River Road (Richland)",44.74625,-117.171833,636,"Assumed NAD83","10/13/1992","11/16/2012",1452,0,0,0
36193,"Eagle Creek at Snake River Road",44.7547,-117.173,643,"Assumed NAD83","04/27/2010","11/16/2012",608,0,0,0
36385,"Burnt River @ Hwy. 30 upstream of Huntington, OR",44.3627,-117.2805,2132,"Assumed NAD83","04/19/2011","11/08/2012",138,0,0,0
36384,"Dixie Creek (Burnt Basin) near mouth at Hwy. 30.",44.4456,-117.3302,703,"Assumed NAD83","04/19/2011","11/08/2012",144,0,0,0
11050,"Jordan Creek at Arock Bridge",42.904917,-117.518556,1135,"Assumed NAD83","07/20/1971","10/29/2012",216,0,0,0
36782,"Powder River near Middle Bridge Road",44.837435,-117.529826,811,"Assumed NAD83","10/11/2011","02/14/2012",102,0,0,0
34256,"Burnt River at Clarks Creek bridge",44.503732,-117.727266,1028,"Assumed NAD83","05/11/2010","03/07/2013",648,0,0,0
36783,"Crooked Creek at Kiger Road",42.860491,-117.73315,1049,"Assumed NAD83","12/12/2011","10/29/2012",143,0,0,0
12624,"Powder River at Deane Bidwell Road",45.01375,-117.883944,984,"Assumed NAD83","09/20/1995","11/08/2012",116,0,0,0
36191,"North Powder River at Hwy. 30 Bridge",45.0185,-117.9216,994,"Assumed NAD83","04/27/2010","11/16/2012",599,0,0,0
36192,"Powder River at Miller Rd. Bridge",45.013,-118.054,1091,"Assumed NAD83","04/27/2010","11/16/2012",655,0,0,0
36195,"Burnt River at Unity Reservoir Dam",44.5038,-118.1773,1143,"Assumed NAD83","05/11/2010","03/07/2013",601,0,0,0
36196,"So. Fork Burnt River at Rouse Lane Bridge",44.488,-118.2016,1164,"Assumed NAD83","05/11/2010","11/08/2012",672,0,0,0
36197,"Middle Fork Burnt River at Rice Road Bridge",44.5073,-118.2158,1164,"Assumed NAD83","05/11/2010","11/08/2012",573,0,0,0
36198,"West Fork Burnt River at Rice Road Bridge",44.5268,-118.223,1173,"Assumed NAD83","05/11/2010","11/08/2012",609,0,0,0
36786,"Pine Creek at Hudson Bay Substation Road",45.986817,-118.567969,171,"Assumed NAD83","10/10/2011","10/08/2012",181,0,0,0
35332,"Columbia R at McNary Dam 0.5 Mi US Channel Marker 1 St Mi 294",45.936969,-119.268238,104,"Assumed NAD83","06/24/2009","09/01/2009",1044,0,0,0
35328,"Columbia R at Irrigon Channel Marker 64 St Mi 284.3",45.912465,-119.459462,81,"Assumed NAD83","06/24/2009","09/01/2009",707,0,0,0
36115,"Willow Creek, 25 feet US of Heppner outfall",45.36977,-119.57547,561,"Assumed NAD83","11/18/2009","11/18/2009",30,0,0,0
36117,"Willow Creek, 50 feet DS of Heppner outfall",45.36999,-119.57571,561,"Assumed NAD83","11/18/2009","11/18/2009",15,0,0,0
35324,"Columbia R at Big Blalock Island St Mi 276.2",45.909436,-119.615297,81,"Assumed NAD83","07/01/2009","09/01/2009",703,0,0,0
35338,"Columbia R at Lake Umatilla N Channel Blalock Islands St Mi 272",45.87463,-119.675704,81,"Assumed NAD83","07/01/2009","09/01/2009",1028,0,0,0
36784,"Willow Creek at Rhea Creek Road",45.493549,-119.769511,360,"Assumed NAD83","10/17/2011","10/16/2012",140,0,0,0
36785,"Rhea Creek at Morter Road",45.43803,-119.781661,427,"Assumed NAD83","10/17/2011","10/16/2012",157,0,0,0
35334,"Columbia R at Crow Butte Channel Marker 35 St Mi 264.6",45.843338,-119.810128,81,"Assumed NAD83","06/30/2009","09/02/2009",715,0,0,0
