AGENCY,AGENCY_ID,STATION_ID,DEC_LAT,DEC_LONG,DATUM,DESCRIPTION,DESCRIPTION_2,LLID_Stream_Lake,Str_LLID,Str_name,LAKE_LLID,LAKE_NAME,COMMENTS,KEEP
EPA National Aquatic Resource Survey Data,NARS,ORSE04-R002,43.64372,-122.03097,NAD27,GOLD LAKE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,ORSE04-R003,43.33037,-122.5088,NAD27,BOULDER CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,ORSE04-R005,42.38248,-119.72121,NAD27,GUANO_CK_HART_MTN,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,ORSE04-R009,42.59082,-118.59915,NAD27,WILDHORSE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,ORSE04-R010,42.60184,-118.59402,NAD27,LITTLE WILDHORSE CREEK,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,ORSE04-R011,42.6779,-118.51607,NAD27,WILLOW CREEK_NEAR HUNTERS CABIN,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,ORSE04-R014,42.83175,-121.45719,NAD27,WILLIAMSON RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,ORSE04-R015,42.76583,-122.06024,NAD27,ANNIE CREEK_WOOD RIVER,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,ORSE04-R020,42.53133,-119.68263,NAD27,ROCK_CK_HART_MTN,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,ORSE04-R021,42.47801,-119.78424,NAD27,DEGARNO_CK_HART_MTN,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,ORSE04-R022,42.1915,-118.21293,NAD27,WILLOW CK_NEAR WHITEHORSE RANCH,NA,NA,NA,NA,NA,NA,,
EPA National Aquatic Resource Survey Data,NARS,WORP99-0503,43.55441,-122.20504,NAD27,BEAR CREEK,NA,NA,NA,NA,NA,NA,,
