OBJECTID,Unique_ID,LLID,LAKE_LLID,RF,Distance,AGENCY,AGENCY_ID,STATION_ID,DEC_LAT,DEC_LONG,DATUM,DESCRIPTION,DESCRIPT_1,LLID_Strea,Str_LLID,Str_name,LAKE_LLID,LAKE_NAME,Unique_ID_,QAQC1,QAQC,QAQC2,Has Duplicate Station,Comments
1,1,1224392437260,,140372.77,-113.85,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R002,43.64372000000,-122.03097000000,NAD27,GOLD LAKE CREEK,NA,NA,NA,NA,NA,NA,1,Needs Secondary Review,,Correct,,Station uses Lake name. Stream name is Salt Creek
2,2,1225284433034,,13630.57,-48.19,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R003,43.33037000000,-122.50880000000,NAD27,BOULDER CREEK,NA,NA,NA,NA,NA,NA,2,Needs Secondary Review,,Manually Revised with IRL tool,,Snapped to wrong stream (Onion Creek)
3,3,1195161422385,,104997.02,,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R005,42.38248000000,-119.72121000000,NAD27,GUANO_CK_HART_MTN,NA,NA,NA,NA,NA,NA,3,Needs Secondary Review,,Correct,,Different Spelling
4,6,1184603426702,,16622.91,19.89,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R011,42.67790000000,-118.51607000000,NAD27,WILLOW CREEK_NEAR HUNTERS CABIN,NA,NA,NA,NA,NA,NA,6,Needs Secondary Review,,Correct,,
5,8,1219896427215,,30226.66,391.71,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R015,42.76583000000,-122.06024000000,NAD27,ANNIE CREEK_WOOD RIVER,NA,NA,NA,NA,NA,NA,8,Needs Secondary Review,,Correct,,
6,9,1191690426614,,246569.03,-178.27,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R020,42.53133000000,-119.68263000000,NAD27,ROCK_CK_HART_MTN,NA,NA,NA,NA,NA,NA,9,Needs Secondary Review,,Correct,,
7,10,1198096424862,,6066.21,-63.20,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R021,42.47801000000,-119.78424000000,NAD27,DEGARNO_CK_HART_MTN,NA,NA,NA,NA,NA,NA,10,Needs Secondary Review,,Correct,,
8,11,1182718424975,,126691.29,-205.79,EPA National Aquatic Resource Survey Data,NARS,ORSE04-R022,42.19150000000,-118.21293000000,NAD27,WILLOW CK_NEAR WHITEHORSE RANCH,NA,NA,NA,NA,NA,NA,11,Needs Secondary Review,,Correct,,
9,19,1210810430862,,81260.69,25.93,EPA National Aquatic Resource Survey Data,NARS,WORP99-0515,42.94294000000,-121.25880000000,NAD27,WF SILVER CREEK,NA,NA,NA,NA,NA,NA,19,Needs Secondary Review,,Correct,Yes,
10,21,1238692429883,,18851.85,148.11,EPA National Aquatic Resource Survey Data,NARS,WORP99-0520,43.01943000000,-123.82788000000,NAD27,UPPER ROCK CREEK,NA,NA,NA,NA,NA,NA,21,Needs Secondary Review,,Correct,Yes,
