MonitoringLocationIdentifier,Site_no,OrganizationIdentifier,OrganizationFormalName,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasureMeasureValue,DrainageAreaMeasureMeasureUnitCode,ContributingDrainageAreaMeasureMeasureValue,ContributingDrainageAreaMeasureMeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasureMeasureValue,HorizontalAccuracyMeasureMeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasureMeasureValue,VerticalMeasureMeasureUnitCode,VerticalAccuracyMeasureMeasureValue,VerticalAccuracyMeasureMeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasureMeasureValue,WellDepthMeasureMeasureUnitCode,WellHoleDepthMeasureMeasureValue,WellHoleDepthMeasureMeasureUnitCode,Site_name,Agency,LLID_Stream_Lake,Str_LLID,Str_name,LAKE_LLID,LAKE_NAME,LatChar,LonChar
USGS-11493500,11493500,USGS-OR,USGS Oregon Water Science Center,"WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR",Stream,,18010201,1290,sq mi,NA,NA,42.7401353,-121.8344618,NA,Unknown,Unknown,Interpolated from map,NAD83,4483.16,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7401353,-121.8344618
USGS-11501000,11501000,USGS-OR,USGS Oregon Water Science Center,"SPRAGUE RIVER NEAR CHILOQUIN, OR",Stream,,18010202,1565,sq mi,NA,NA,42.5845809,-121.8497366,NA,Unknown,Unknown,Interpolated from map,NAD83,4202.43,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5845809,-121.8497366
USGS-11504100,11504100,USGS-OR,USGS Oregon Water Science Center,WOOD R NR FORT KLAMATH OREG,Stream,,18010203,87.7,sq mi,NA,NA,42.64569,-121.9955755,NA,Unknown,Unknown,Interpolated from map,NAD83,4150,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.64569,-121.9955755
USGS-11507100,11507100,USGS-OR,USGS Oregon Water Science Center,UPPER KLAMATH LAKE OUTLET AT KLAMATH FALLS OR,Stream,,18010203,NA,,NA,,42.2387553,-121.8052827,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2387553,-121.8052827
USGS-11507501,11507501,USGS-OR,USGS Oregon Water Science Center,"LINK RIVER BELOW KENO CANAL, NEAR KLAMATH FALLS,OR",Stream,Annett Sullivan qw study,18010204,NA,,NA,,42.2193114,-121.7902816,24000,1,seconds,Interpolated from map,NAD83,4087,feet,1.6,feet,Interpolated from digital elevation model (DEM),NAVD88,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2193114,-121.7902816
USGS-11509370,11509370,USGS-OR,USGS Oregon Water Science Center,"KLAMATH RIVER ABOVE KENO DAM, AT KENO, OR",Stream,Annett Sullivan qw study,18010204,NA,,NA,,42.1279223,-121.9288964,24000,1,seconds,Interpolated from map,NAD83,4087,feet,1.6,feet,Interpolated from digital elevation model (DEM),NAVD88,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1279223,-121.9288964
USGS-11509500,11509500,USGS-OR,USGS Oregon Water Science Center,"KLAMATH RIVER AT KENO, OR",Stream,,18010206,3920,sq mi,NA,,42.1331995,-121.9622313,NA,1,seconds,Interpolated from map,NAD83,3961,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1331995,-121.9622313
USGS-11516580,11516580,USGS-OR,USGS Oregon Water Science Center,"COTTONWOOD CREEK NEAR ASHLAND, OR",Stream,City of Ashland - periodic sampling & Q meas,18010206,9.70E-02,sq mi,NA,,42.0768006,-122.7044757,NA,1,seconds,Interpolated from map,NAD83,6800,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.0768006,-122.7044757
USGS-13173600,13173600,USGS-ID,USGS Idaho Water Science Center,SNAKE RIVER NR ADRIAN OR,Stream,,17050103,43000,sq mi,NA,,43.7309932,-117.0718258,24000,5,seconds,Interpolated from map,NAD83,2190,feet,5,feet,Interpolated from topographic map,NAVD88,US,41,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7309932,-117.0718258
USGS-13177900,13177900,USGS-ID,USGS Idaho Water Science Center,OWYHEE RIVER ABV NORTH FORK AT THREE FORKS OR,Stream,,17050107,NA,,NA,NA,42.5443235,-117.170696,NA,5,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5443235,-117.170696
USGS-13177920,13177920,USGS-ID,USGS Idaho Water Science Center,NORTH FORK OWYHEE RIVER AT THREE FORKS OR,Stream,,17050107,NA,,NA,NA,42.5440457,-117.169307,NA,5,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5440457,-117.169307
