"STATION_KEY","LOCATION_DESCRIPTION","latitude","longitude"
10351,"Willamette River at Adair water intake","44.6381","123.1636"
10413,"Rogue River at Huntley Park","42.4816","124.3275"
10425,"Illinois River at mouth","42.5487","124.0635"
10599,"Rogue River at bridge upstream of Agness","42.5872","124.0617"
10868,"North Fork Deep Creek at Hwy 212 (upstream of Boring)","45.4327","122.3533"
11050,"Jordan Creek at Arock Bridge","42.9049","117.5186"
11516,"Zollner Creek at Dominic Road","45.0860","122.7860"
11826,"John Day River at Philippi Park","45.7029","120.5998"
11857,"Powder River at Snake River Road (Richland)","44.7463","117.1718"
12099,"Quosatana Creek upstream of USFS Road #33","42.4881","124.2313"
12624,"Powder River at Deane Bidwell Road","45.0138","117.8839"
13249,"Odell Creek upstream of Odell WWTP outfall","45.6424","121.5425"
13568,"East Fork Millicoma River at Private Road","43.4331","124.0233"
13569,"West Fork Millicoma River at Allegany","43.4250","124.0306"
13787,"Garrison Lake at deepest point","42.7542","124.5068"
13904,"Cullaby Lake at N end of fishing dock","46.0951","123.9056"
14201,"Monitoring Well 13  -  Alkali Lake Hazardous Waste Site","42.9686","120.0553"
14434,"Soap Creek upstream of Coffin Butte Landfill","44.6978","123.2444"
18821,"Bethel Creek at Hwy 101 (tributary to New River)","42.9659","124.4276"
18822,"Fourmile Creek at Hwy 101 (tributary to Pacific)","43.0034","124.4143"
18823,"Twomile Creek at Hwy 101 (tributary to Pacific)","43.0521","124.4137"
18824,"Davis Creek at Hwy 101 (tributary to New River)","42.9755","124.4234"
20447,"Big Creek (Tenmile Lake)","43.5950","124.0965"
23930,"Floras Lake outlet near mouth, Floras Creek mainstem","42.9115","124.4981"
23931,"Mainstem Floras Creek above Floras Lake outlet","42.9144","124.4928"
24090,"East Fork Floras Creek, at Langlois Mountain Road","42.9434","124.3193"
24091,"North Fork Floras Creek, at Langlois Mountain Road","42.9492","124.3339"
25241,"Jack Creek, tributary to Chetco River, below downstream most Golf Bridge","42.0614","124.2147"
25242,"Jack Creek, tributary to Chetco River, just downstream of Fish Trap","42.0622","124.2175"
25436,"Cedar Creek (tributary to Euchre Creek) at mouth","42.5581","124.3717"
25437,"Euchre Creek above Cedar Creek","42.5589","124.3714"
25440,"Euchre Creek above Boulder Creek","42.5667","124.3489"
25848,"Hubbard Creek below North Fork","42.7389","124.4744"
25852,"South Fork Floras Creek at mouth","42.9083","124.3192"
25854,"Willow Creek (tributary to Floras Creek) at Hwy 101","42.8911","124.4611"
28288,"Cedar Creek (Euchre Creek tributary)","42.5408","124.3522"
28289,"Cedar Creek at downstream end of Cedar Bend Golfcourse (Euchre Creek tributary)","42.5519","124.3719"
28297,"Willow Creek at County Bridge (Floras Creek)","42.9045","124.4755"
28299,"Swamp Creek at lower culvert (Elk Creek)","42.7963","124.5198"
28301,"Cedar Creek at McKenzie Road Bridge (Elk Creek)","42.7956","124.5092"
28304,"Indian Creek near mouth (Rogue River below Lobster Creek)","42.4286","124.4026"
28306,"East Fork Edson Creek near mouth (Rogue River below Lobster Creek)","42.4806","124.3926"
28308,"Squaw Creek near mouth (Rogue River below Lobster Creek)","42.4698","124.3582"
28312,"Crystal Creek at Hwy 101 (Sixes River tributary)","42.8210","124.4825"
28313,"Edson Creek near confluence with Sixes River","42.8151","124.4105"
28314,"Sixes River above Edson Creek","42.8138","124.4134"
28333,"Fifteenmile Creek at Petersburg, OR","45.6110","121.0740"
28912,"Sixes River, north of pinic area OR2002-0021","42.8504","124.5379"
28981,"Mill Creek at 6th Street Bridge in The Dalles, OR","45.6033","121.1936"
29552,"Elk River Champman Creek above Elk River Road","42.7378","124.4104"
29553,"Elk River Bagley Creek at mouth","42.7699","124.4606"
29569,"Eucher Creek below Hwy 101 (above estuary)","42.5606","124.3825"
29629,"Saunders Creek near bridge","42.4455","124.3686"
29630,"Edson Creek at county bridge","42.4715","124.3860"
29697,"Edson Creek, above bridge #256","42.4753","124.3894"
30194,"Lobster Creek at mouth","42.5146","124.2952"
30369,"Foster Creek at mouth","42.6337","124.0467"
31463,"South Fork Chetco River at mouth","42.1866","124.1348"
31508,"Hunter Creek upstream of second bridge","42.3550","124.3727"
31511,"Pistol River at ODFW Trap Site","42.2657","124.3840"
31520,"South Fork Winchuck River near mouth","41.9973","124.1937"
31719,"Canyon Creek 3.3 miles upstream of mouth","44.3725","120.3630"
31909,"St. John's Auto Wrecking, behind food store, off-site sample","45.6058","122.7546"
32024,"Winchuck River Mainstem upstream of NFB","42.0154","124.1114"
32640,"Butte Creek at Hwy 101 (New River)","42.9582","124.4347"
32642,"Pistol River above Pistol Loop Road Bridge","42.2670","124.3774"
32644,"Silver Creek near mouth (Lower Rogue)","42.5070","124.2331"
32666,"Crook Creek at Pistol River Loop Road (Pistol River)","42.2752","124.3947"
32667,"North Langlois Creek near Langlois (tributary to New River)","42.9345","124.4551"
32859,"Indian Creek near mouth (Rogue River)","42.4279","124.4018"
33553,"Portland Blast Media Site","45.6090","122.7784"
33950,"Thatcher Loen, Woodburn, tile drain outfall","45.1867","122.9251"
34256,"Burnt River at Clarks Creek bridge","44.5037","117.7273"
34280,"Sixes River at RM 22.2 DS of Middle Fork Sixes River ","42.8064","124.2308"
34282,"Sixes River US of South Fork at RM 17.8","42.8050","124.3058"
34304,"Turner Creek ABV riparian project (Hunter)","42.3890","124.4128"
34309,"Sixes River at RM 1.1  ","42.8416","124.5363"
34312,"Cedar Creek at Pit Road (Elk)","42.8030","124.5032"
35317,"Columbia R at Cascade Locks 0.3 Mi US of Channel Marker 12 (St Mi 149.4)","45.6755","121.8954"
35318,"Columbia R US of Drano Lake at Channel Marker 30 St Mi 163.6","45.7099","121.6155"
35319,"Columbia R Lake Umatilla at Channel Marker 18 St Mi 238.7","45.7194","120.2879"
35320,"Columbia R at Crow Butte Powerline St Mi 263.3","45.8416","119.8351"
35321,"Columbia R at Trotter Point St Mi 153.3","45.7041","121.8233"
35322,"Columbia R at Wind Mountain St Mi 156.4","45.6973","121.7611"
35323,"Columbia R at Lake Umatilla Channel Marker 6 St Mi 223.4","45.7399","120.5697"
35324,"Columbia R at Big Blalock Island St Mi 276.2","45.9094","119.6153"
35325,"Columbia R at Lake Celilo Channel Marker 1 St Mi 193.1","45.6268","121.1155"
35326,"Columbia R at East end of Miller Is. St Mi 206","45.6539","120.8801"
35327,"Columbia R at Arlington Channel Marker 21 St Mi 243.5","45.7368","120.1994"
35328,"Columbia R at Irrigon Channel Marker 64 St Mi 284.3","45.9125","119.4595"
