"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasureMeasureValue","DrainageAreaMeasureMeasureUnitCode","ContributingDrainageAreaMeasureMeasureValue","ContributingDrainageAreaMeasureMeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasureMeasureValue","HorizontalAccuracyMeasureMeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasureMeasureValue","VerticalMeasureMeasureUnitCode","VerticalAccuracyMeasureMeasureValue","VerticalAccuracyMeasureMeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasureMeasureValue","WellDepthMeasureMeasureUnitCode","WellHoleDepthMeasureMeasureValue","WellHoleDepthMeasureMeasureUnitCode","LatChar","LonChar","site_only"
"NARS","EPA National Aquatic Resource Survey Data","NARS-OSM04461-0001","SMITH RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPHAND/Strahler Stream Order is  5/WATERSHED AREA is 517.595km^2",17100303,NA,"",NA,NA,"43.799999999999997","-123.79000000000001",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","43.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"19",NA,NA,NA,NA,NA,NA,NA,NA,"43.8","-123.79","OSM04461-0001"
"NARS","EPA National Aquatic Resource Survey Data","NARS-OSM04461-0002","SMITH RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPHAND/Strahler Stream Order is  5/WATERSHED AREA is 457.0822km^2",17100303,NA,"",NA,NA,"43.799999999999997","-123.76000000000001",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","57.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"19",NA,NA,NA,NA,NA,NA,NA,NA,"43.8","-123.76","OSM04461-0002"
"NARS","EPA National Aquatic Resource Survey Data","NARS-OSM04461-0004","SMITH RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPHAND/Strahler Stream Order is  5/WATERSHED AREA is 523.7795km^2",17100303,NA,"",NA,NA,"43.780000000000001","-123.81",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","25.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"19",NA,NA,NA,NA,NA,NA,NA,NA,"43.78","-123.81","OSM04461-0004"
"NARS","EPA National Aquatic Resource Survey Data","NARS-OSM04461-0005","SMITH RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPHAND/Strahler Stream Order is  5/WATERSHED AREA is 544.6014km^2",17100303,NA,"",NA,NA,"43.780000000000001","-123.84999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","8.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"19",NA,NA,NA,NA,NA,NA,NA,NA,"43.78","-123.85","OSM04461-0005"
"NARS","EPA National Aquatic Resource Survey Data","NARS-OSM04461-0006","SMITH RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPHAND/Strahler Stream Order is  5/WATERSHED AREA is 573.1072km^2",17100303,NA,"",NA,NA,"43.780000000000001","-123.88",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","5.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"19",NA,NA,NA,NA,NA,NA,NA,NA,"43.78","-123.88","OSM04461-0006"
"NARS","EPA National Aquatic Resource Survey Data","NARS-OSM04461-0007","SMITH RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPHAND/Strahler Stream Order is  5/WATERSHED AREA is 574.7119km^2",17100303,NA,"",NA,NA,"43.780000000000001","-123.89",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","5.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"19",NA,NA,NA,NA,NA,NA,NA,NA,"43.78","-123.89","OSM04461-0007"
"NARS","EPA National Aquatic Resource Survey Data","NARS-OSM04461-0008","SMITH RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPHAND/Strahler Stream Order is  5/WATERSHED AREA is 851.6477km^2",17100303,NA,"",NA,NA,"43.770000000000003","-123.95999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","4.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"19",NA,NA,NA,NA,NA,NA,NA,NA,"43.77","-123.96","OSM04461-0008"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0502","ROGUE RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  0/WATERSHED AREA is 6292.0638km^2/Station Weight (km): 783.6822",17100308,NA,"",NA,NA,"42.420000000000002","-123.25",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","288.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"33",NA,NA,NA,NA,NA,NA,NA,NA,"42.42","-123.25","WORP99-0502"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0519","MIDDLE CHANNEL WILLAMETTE RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 10211.3929km^2/Station Weight (km): 587.7617",17090003,NA,"",NA,NA,"44.490000000000002","-123.22",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","71.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"3",NA,NA,NA,NA,NA,NA,NA,NA,"44.49","-123.22","WORP99-0519"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0521","DESCHUTES RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  4/WATERSHED AREA is 4550.5298km^2/Station Weight (km): 48.5075",17070301,NA,"",NA,NA,"43.969999999999999","-121.40000000000001",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1209.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"17",NA,NA,NA,NA,NA,NA,NA,NA,"43.97","-121.4","WORP99-0521"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0535","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 15422.5539km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"44.899999999999999","-120.45",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","397.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA,"44.9","-120.45","WORP99-0535"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0563","DESCHUTES RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 25152.7128km^2/Station Weight (km): 27.2854",17070306,NA,"",NA,NA,"45.149999999999999","-121.09999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","275.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA,"45.15","-121.1","WORP99-0563"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0623","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 17334.5289km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"45.299999999999997","-120.53",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","240.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"55",NA,NA,NA,NA,NA,NA,NA,NA,"45.3","-120.53","WORP99-0623"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0629","DESCHUTES RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 24538.1897km^2/Station Weight (km): 27.2854",17070306,NA,"",NA,NA,"44.859999999999999","-121.05",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","376.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA,"44.86","-121.05","WORP99-0629"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0959","PUDDING RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 1351.9641km^2",17090009,NA,"",NA,NA,"45.270000000000003","-122.73",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","22.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"5",NA,NA,NA,NA,NA,NA,NA,NA,"45.27","-122.73","WORP99-0959"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0632","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 4145.4342km^2/Station Weight (km): 48.5075",17070201,NA,"",NA,NA,"44.469999999999999","-119.53",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","708.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA,"44.47","-119.53","WORP99-0632"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0669","COAST FORK WILLAMETTE RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  0/WATERSHED AREA is 1490.5186km^2/Station Weight (km): 783.6822",17090002,NA,"",NA,NA,"43.939999999999998","-122.98",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","155.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"39",NA,NA,NA,NA,NA,NA,NA,NA,"43.94","-122.98","WORP99-0669"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0670","UMPQUA RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 10455.3247km^2/Station Weight (km): 783.6822",17100303,NA,"",NA,NA,"43.649999999999999","-123.72",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","9.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"19",NA,NA,NA,NA,NA,NA,NA,NA,"43.65","-123.72","WORP99-0670"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0671","ROGUE RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 10097.4333km^2/Station Weight (km): 440.8212",17100310,NA,"",NA,NA,"42.649999999999999","-124.0",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","73.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"15",NA,NA,NA,NA,NA,NA,NA,NA,"42.65","-124","WORP99-0671"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0678","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 17830.9668km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"45.420000000000002","-120.5",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","178.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"21",NA,NA,NA,NA,NA,NA,NA,NA,"45.42","-120.5","WORP99-0678"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0689","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 17537.0169km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"45.369999999999997","-120.51000000000001",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","219.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"21",NA,NA,NA,NA,NA,NA,NA,NA,"45.37","-120.51","WORP99-0689"
