"STATION_KE","LOCATION_D","Latitude","Longitude","DATUM"
"35252","Columbia River at Lake Wallula Gap",46.082414,-118.943236,"Assumed NAD83"
"35239","Columbia River at Port Kelley",46.014435,-118.968916,"Assumed NAD83"
"35250","Columbia River at Snake River Confluence",46.194433,-119.043889,"Assumed NAD83"
"35235","Columbia River at Kennewick-Wade Island",46.235222,-119.193752,"Assumed NAD83"
"35247","Columbia River at Rufus Wood",48.115615,-119.216212,"Assumed NAD83"
"35246","Columbia River at Johnson Island",46.369823,-119.265361,"Assumed NAD83"
"35242","Columbia River at Savage Island",46.557892,-119.3214,"Assumed NAD83"
"35236","Columbia River at Bridgeport",48.016566,-119.679877,"Assumed NAD83"
"35238","Columbia River at East Vernita Bridge",46.646822,-119.681703,"Assumed NAD83"
"35234","Columbia River at Vernita Bridge",46.637915,-119.744054,"Assumed NAD83"
"35237","Columbia River at Chelan",47.904925,-119.911184,"Assumed NAD83"
"35241","Columbia River at Beverly",46.841179,-119.94845,"Assumed NAD83"
"35245","Columbia River at Babcock Bench",47.127049,-120.004019,"Assumed NAD83"
"35249","Columbia River at Cresent Bar",47.22414,-120.056181,"Assumed NAD83"
"35251","Columbia River at Goose Fall",47.772996,-120.144713,"Assumed NAD83"
"35248","Columbia River at Wenatchee Pumpstation",47.374159,-120.191708,"Assumed NAD83"
"35240","Columbia River at Daroga",47.746484,-120.21002,"Assumed NAD83"
"35244","Columbia River at Rock Island (Wenatchee)",47.379405,-120.234079,"Assumed NAD83"
"31720","Canyon Creek 3.8 miles upstream of mouth",44.3603,-120.368,"Assumed NAD83"
"12583","Canyon Creek 2.8 miles upstream of mouth (Road 42.100)",44.368778,-120.380778,"Assumed NAD83"
"31721","Canyon Creek 1.7 miles upstream of mouth",44.3764,-120.4,"Assumed NAD83"
"10581","Columbia River at John Day Dam",45.711694,-120.690028,"Assumed NAD83"
"31722","Ochoco Creek 1.6 miles upstream of Canyon Creek Junction",44.300361,-120.751917,"Assumed NAD83"
"36030","Deschutes River at Shears Falls Fish Ladder",45.256985,-121.039567,"Assumed NAD83"
"36037","Klickitat R WA at RM 0.4",45.7005,-121.28709,"Assumed NAD83"
"32737","Fish Lake, rainbow trout, station 8",42.3928,-122.3152,"Assumed NAD83"
"32736","Fish Lake, rainbow trout, station 7",42.3927,-122.3156,"Assumed NAD83"
"32734","Fish Lake, rainbow trout, station 5",42.3921,-122.3167,"Assumed NAD83"
"32733","Fish Lake, rainbow trout, station 4",42.3926,-122.3173,"Assumed NAD83"
"32730","Fish Lake, rainbow trout, station 1",42.3927,-122.3174,"Assumed NAD83"
"32731","Fish Lake, rainbow trout, station 2",42.3926,-122.3174,"Assumed NAD83"
"32732","Fish Lake, rainbow trout, station 3",42.3926,-122.3174,"Assumed NAD83"
"32735","Fish Lake, rainbow trout, station 6",42.3924,-122.3331,"Assumed NAD83"
"32692","Howard Prairie Reservoir, rainbow trout, station 1",42.2159,-122.3776,"Assumed NAD83"
"32688","Howard Prairie Reservoir, small mouth bass, station 7",42.2155,-122.3779,"Assumed NAD83"
"32687","Howard Prairie Reservoir, small mouth bass, station 6",42.2258,-122.3916,"Assumed NAD83"
"32682","Howard Prairie Reservoir, small mouth bass, station 1",42.2273,-122.394,"Assumed NAD83"
"32684","Howard Prairie Reservoir, small mouth bass, station 3",42.2293,-122.3944,"Assumed NAD83"
"32686","Howard Prairie Reservoir, small mouth bass, station 5",42.2313,-122.3959,"Assumed NAD83"
"32685","Howard Prairie Reservoir, small mouth bass, station 4",42.2323,-122.3983,"Assumed NAD83"
"32683","Howard Prairie Reservoir, small mouth bass, station 2",42.2378,-122.4017,"Assumed NAD83"
"32689","Howard Prairie Reservoir, small mouth bass, station 8",42.237,-122.4017,"Assumed NAD83"
