"STREAM_LLID","LAKE_LLID","STATION","DEC_LAT","DEC_LONG","DESCRIPTION","RIVER_MILE","MATRIX","USE_Final"
"1224392437260","0","ORSE04-R002","43.64372","-122.03097","GOLD LAKE CREEK","26.5857518939","FW",1
"1225284433030","0","ORSE04-R003","43.33037","-122.5088","BOULDER CREEK","2.58154734848","FW",1
"1195161422390","0","ORSE04-R005","42.38248","-119.72121","GUANO_CK_HART_MTN","19.8857992424","FW",1
"1184603426700","0","ORSE04-R011","42.6779","-118.51607","WILLOW CREEK_NEAR HUNTERS CABIN","3.14827840909","FW",1
"1219896427220","0","ORSE04-R015","42.76583","-122.06024","ANNIE CREEK_WOOD RIVER","5.72474621212","FW",1
"1191690426610","0","ORSE04-R020","42.53133","-119.68263","ROCK_CK_HART_MTN","46.6986799242","FW",1
"1198096424860","0","ORSE04-R021","42.47801","-119.78424","DEGARNO_CK_HART_MTN","1.14890340909","FW",1
"1182718424980","0","ORSE04-R022","42.1915","-118.21293","WILLOW CK_NEAR WHITEHORSE RANCH","23.9945625","FW",1
"1210810430860","0","WORP99-0515","42.94294","-121.2588","WF SILVER CREEK","15.390282197","FW",1
"1238692429880","0","WORP99-0520","43.01943","-123.82788","UPPER ROCK CREEK","3.57042613636","FW",1
"1193348441830","0","WORP99-0548","44.20752","-119.28981","NF DEER CREEK","2.86822159091","FW",1
"1216420451800","0","WORP99-0551","45.1856","-121.6422","FROG CREEK TRIB.","0.364375","FW",1
"1204692451630","0","WORP99-0606","45.09761","-120.10241","THIRTY-MILE CREEK","25.8817310606","FW",1
"1185168444230","0","WORP99-0607","44.43229","-118.51393","NORTH FORK REYNOLDS CREEK","0.709085227273","FW",1
"1185080445940","0","WORP99-0608","44.5756","-118.49144","LOWER CLEAR CREEK","1.61089015152","FW",1
"1210687448110","0","WORP99-0613","44.84498","-121.00437","TENMILE CREEK","6.22316477273","FW",1
"1230370453170","0","WORP99-0666","45.33709","-123.05504","CHEHELEM CREEK TRIBUTARY","1.84221212121","FW",1
