"STATION","StationUse_RecordID","DESCRIPTION","DEC_LAT","DEC_LONG","RIVER_MILE","STREAM_LLID","RIVER_MILE_LAKE","LAKE_LLID","LAKE_NAME","GIS_Source_LAKE","USE_OtherParms","USE_Final","GIS_Source","HUC_3rd_Field","Bio_Macro_Data","CASCADE_LAKES","MARINE_WATERS","STRATIFIED_Natural_Lake","ESTUARY","LAKE","MARINE_COASTAL_REC","Enterro_Data","DHS_Station_Type","DHS_Station_Type_Num","EPA_BEACH_ID","BEACH_NAME","ELEVATION_FT","WRD_Basin","Comments","Reviewed_Permit_Writers","RIVER_MILE_2004","LLID_2004","USE_Bacteria","Salinity_Max","Conductivity_Max","PondResSmall","Stream_Name","MATRIX","TRIBAL","AGENCY","AGENCY_ID","STATIONS_2012","UsabilityComments"
"FCI0",NA,"Fairview Creek at Fairview Lake Trailer Park","45.5455","-122.4359","3.265","1224918455561",NA,NA,NA,NA,NA,1,"StreamNet 100K","Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Osburn Creek","FW",0,"City of Gresham","GRESHAM",1,NA
"FCI1",NA,"Fairview Creek downstream of Stark in Conifer Park","45.5212","-122.4508","0.354","1224498455258",NA,NA,NA,NA,NA,1,"StreamNet 100K","Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fairview Creek","FW",0,"City of Gresham","GRESHAM",1,NA
"JCI1",NA,"Johnson Creek at 174th Ave/Jenne Rd","45.4864","-122.4848","11.521","1226465454422",NA,NA,NA,NA,NA,1,"StreamNet 100K","Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Johnson Creek","FW",0,"City of Gresham","GRESHAM",1,NA
"JCI2",NA,"Johnson Creek at 252nd/Palmblad","45.4728","-122.4035","16.996","1226465454422",NA,NA,NA,NA,NA,1,"StreamNet 100K","Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Johnson Creek","FW",0,"City of Gresham","GRESHAM",1,NA
"KCI1",NA,"Kelly Creek below Mt Hood Community College Detention Pond","45.5134","-122.3952","0.145","1223923455131",NA,NA,NA,NA,NA,1,"StreamNet 100K","Lower Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kelly Creek","FW",0,"City of Gresham","GRESHAM",1,NA
"KCI4",NA,"Kelly Creek downstream of Kelly Creek Detention Pond","45.4859","-122.3801","2.863","1223923455131",NA,NA,NA,NA,NA,1,"StreamNet 100K","Lower Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kelly Creek","FW",0,"City of Gresham","GRESHAM",1,NA
"KI1",NA,"Kelley Creek at Pleasant Valley Grange","45.4676","-122.4866","1.031","1224988454776",NA,NA,NA,NA,NA,1,"StreamNet 100K","Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kelly Creek","FW",0,"City of Gresham","GRESHAM",1,NA
"KI2",NA,"Kelley Creek at Rodlun Road","45.4623","-122.4502","2.974","1224988454776",NA,NA,NA,NA,NA,1,"StreamNet 100K","Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kelly Creek","FW",0,"City of Gresham","GRESHAM",1,NA
"BCI2",NA,"Beaver Creek at Division x. Troutdale Rd","45.4973","-122.3774","4.032","1223828455410",NA,NA,NA,NA,NA,1,"StreamNet 100K","Lower Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beaver Creek","FW",0,"City of Gresham","GRESHAM",1,NA
"BCI1",NA,"Beaver Creek at Troutdale Lower Footbridge","45.531268","-122.38116","0.884","1223828455410",NA,NA,NA,NA,NA,1,"StreamNet 100K","Lower Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beaver Creek","FW",0,"City of Gresham","GRESHAM",1,NA
