"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasureMeasureValue","DrainageAreaMeasureMeasureUnitCode","ContributingDrainageAreaMeasureMeasureValue","ContributingDrainageAreaMeasureMeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasureMeasureValue","HorizontalAccuracyMeasureMeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasureMeasureValue","VerticalMeasureMeasureUnitCode","VerticalAccuracyMeasureMeasureValue","VerticalAccuracyMeasureMeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasureMeasureValue","WellDepthMeasureMeasureUnitCode","WellHoleDepthMeasureMeasureValue","WellHoleDepthMeasureMeasureUnitCode"
"USGS-OR","USGS Oregon Water Science Center","USGS-14076500","DESCHUTES RIVER NEAR CULVER, OR","Stream","",17070301,"2705.0","sq mi",NA,NA,"44.498729300000001","-121.3211558",NA,"Unknown","Unknown","Interpolated from map","NAD83","1980.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"31",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-14211500","JOHNSON CREEK AT SYCAMORE, OR","Stream","",17090012,"26.800000000000001","sq mi",NA,NA,"45.477620199999997","-122.50786859999999",NA,"1","seconds","Interpolated from map","NAD83","228.47","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-14211550","JOHNSON CREEK AT MILWAUKIE, OR","Stream","",17090012,"53.170000000000002","sq mi",NA,NA,"45.452897","-122.6431496",124000,"1","seconds","Interpolated from map","NAD83","0.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"5",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-420941121453200","OSU AG RESEARCH STATION","Stream: Canal","TARA CHESTNUT",18010203,NA,"",NA,NA,"42.161472199999999","-121.75875000000001",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-440636120473100","CROOKED RIVER BELOW BOWMAN DAM, OR","Stream","Curt Hughes Crooked River project  Nov. 1, 2004",NA,NA,"",NA,NA,"44.109848200000002","-120.7930697",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"13",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-441924121153000","DESCHUTES RIVER BELOW ODIN FALLS, OR","Stream","BLM WQ Study Mid Deschutes River C.Hughes 4/26/06",NA,NA,"",NA,NA,"44.323305599999998","-121.2584167",24000,".1","seconds","Global positioning system (GPS), uncorrected","NAD83","2673.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"17",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-442348121133300","CROOKED RIVER AT GRASSLAND TRAIL, OR","Stream","Curt Hughes Crooked River project  Nov. 1, 2004",NA,NA,"",NA,NA,"44.3965362","-121.22706599999999",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"31",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-442508121173200","DESCHUTES RIVER BELOW STEELHEAD FALLS, OR","Stream","BLM WQ PROJECT     C.HUGHES   11/15/2005",NA,NA,"",NA,NA,"44.4187297","-121.29337460000001",24000,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","2277.0","feet","20.0","feet","Altimeter","NGVD29","US",41,"31",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-442848121180100","CROOKED RIVER AT WHINER ROCK, ABV OPAL SPRINGS, OR","Stream","Curt Hughes project May 2005",NA,NA,"",NA,NA,"44.479812899999999","-121.3013212",24000,".1","seconds","Global positioning system (GPS), uncorrected","NAD83","2100.0","feet","20.0","feet","Altimeter","NGVD29","US",41,"31",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-452743122365400","JOHNSON CREEK AT 45TH AVENUE, PORTLAND, OR","Stream","Karl Lee project",17090012,NA,"",NA,NA,"45.461786099999998","-122.6162046",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","100.0","feet","10.0","feet","Global Positioning System","NGVD29","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
