"Sort","Notes","No.","Pollutant","source","alias","CAS.No.","Carcinogen","Human.Health.Criteria...................Water...Organism..ug.L.","Human.Health.Criteria..Organism.Only..ug.L.","Freshwater.Acute.Criteria..CMC..ug.L","Freshwater.Chronic.Criteria..CCC..ug.L","Freshwater.Fish.Acute.1","Freshwater.Fish.Chronic.2","Freshwater.Invertebrates.Acute.3","Freshwater.Invertebrates.Chronic.4","Freshwater.Nonvascular.Plants.Acute.5","Freshwater.Vascular.Plants.Acute.6","Office.of.Water.Aquatic.Life.Criteria.Maximum.Concentration..CMC.","Office.of.Water.Aquatic.Life.Criteria.Continuous.Concentration..CCC.","minimum.criteria.benchmark.value","index","OR.MCLs","X","Marine.Acute.Criteria..CMC..ug.L","Marine.Chronic.Criteria..CCC..ug.L","Acute.One.Day.HHBP..ppb.","Chronic..Lifetime.HHBP..ppb.","Fish.SV.175.g.d..ppb..","Fish.SV.17.5.g.d..ppb.","Fish.SV.32.g.d..ppb."
1,"0",NA,"(DCSA) 3,6-dichlorosalicylic acid","OPP","","3401-80-7","","","","","","> 50,000","—","44500","—","138000","> 73,000","—","—","44500","7","",NA,"","","","","","",""
2,"0",NA,"(PCA) Pentachloroaniline","OPP","","527-20-8","","","","","","28","—","150","—","—","—","—","—","28","5","",NA,"","","","","","",""
3,"0",NA,"(PCB) Pentachlorobenzene","OPP","","608-93-5","","","","","","70","—","80","—","—","—","—","—","70","5","",NA,"","","","","","",""
4,"0",NA,"(PCNB) Pentachloronitrobenzene","OPP","","82-68-8","","","","","","50","13","385","18","—","—","—","—","13","6","",NA,"","","","","","",""
5,"0",NA,"(PCP) Pentachlorophenol","OPP","","87-86-5","","","","","","47.5","—","25","—","—","—","—","—","25","7","",NA,"","","","","","",""
6,"",NA,"1,2,4-Triazole","EPA HHBP","","288-88-0","","","","","","","","","","","","","","0","13","",NA,"","","300","35","","",""
7,"",NA,"2, 4 - DB DMA","EPA HHBP","","2758-42-1","","","","","","","","","","","","","","0","13","",NA,"","","19800","210","","",""
8,"",NA,"2, 4 - DBA","EPA HHBP","","94-82-6","","","","","","","","","","","","","","0","13","",NA,"","","19800","210","","",""
9,"",39,"2,4-D","Table 40, 20","Chlorophenoxy Herbicide (2,4-D) ","94757","n","100","--","--","--","","","","","","","","","100","1","70",NA,"--","--","","","","",""
10,"0",NA,"2,4-D acids and salts","OPP","","","","","","","","12075","14200","12500","16050","3880","13.1","—","—","13.1","10","",NA,"","","","","","",""
11,"0",NA,"2,4-D esters","OPP","","","","","","","","130","79.2","1100","200","66","330","—","—","66","9","",NA,"","","","","","",""
12,"11",NA,"2,4-DB","OPP","","94-82-6","","","","","","1000","—","7500","—","932","—","—","—","932","9","",NA,"","","","","","",""
13,"11",NA,"2,4-DB-DMAS","OPP","","- -","","","","","","1567","—","10150","—","—","—","—","—","1567","5","",NA,"","","","","","",""
14,"",69,"2,4-Dinitrotoluene","Table 40, 20","Dinitrotoluene 2,4","121142","y","0.084","0.34","--","--","","","","","","","","","0.084","1","",NA,"--","--","","","1.286173633","12.86173633","7.033762058"
15,"",NA,"2,4-DP-p Salts & Esters","EPA HHBP","","15165-67-0","","","","","","","","","","","","","","0","13","",NA,"","","500","252","","",""
16,"",NA,"2,6-Dichlorobenzamide (BAM)","EPA HHBP","","2008-58-4","","","","","","","","","","","","","","0","13","",NA,"","","990","32","","",""
17,"0",NA,"3-chloroacrylic acid Telone degradate","OPP","","- -","","","","","","34750","—","27500","—","430","220","—","—","220","10","",NA,"","","","","","",""
18,"0",NA,"3-chloroallyl alcohol Telone degradate","OPP","","- -","","","","","","493","—","1150","—","32900","1694","—","—","493","5","",NA,"","","","","","",""
19,"",46,"4,4`-DDD","Table 40, 20","DDD 4,4'","72548","y","0.000031","0.000031","--","--","","","","","","","","","0.000031","1","",NA,"--","--","","","1.666666667","16.66666667","9.114583333"
20,"",47,"4,4`-DDE","Table 40, 20","DDE 4,4'","72559","y","0.000022","0.000022","--","--","","","","","","","","","0.000022","1","",NA,"--","--","","","1.176470588","11.76470588","6.433823529"
21,"",48,"4,4`-DDT","Table 40, 20","DDT 4,4'","50293","y","0.000022","0.000022","","","","","","","","","","","0.000022","1","",NA,"","","","","1.176470588","11.76470588","6.433823529"
22,"",NA,"Abamectin","EPA HHBP","","71751-41-2, 65195-55-3","","","","","","","","","","","","","","0","13","",NA,"","","50","3","","",""
23,"",1,"Acenaphthene","Table 40, 20","","83329","n","95","99","--","--","","","","","","","","","95","1","",NA,"--","--","","","24000","240000","131250"
24,"9",NA,"Acephate","OPP, EPA HHBP","","30560-19-1","","","","","","416000","5760","550","150","> 50,000","—","—","—","150","8","",NA,"","","50","8","","",""
25,"0",NA,"Acequinocyl","OPP, EPA HHBP","","57960-19-7","","","","","","33500","520","1.2","0.98","960","—","—","—","0.98","8","",NA,"","","-","189","","",""
26,"",NA,"Acetamiprid","EPA HHBP","","135410-20-7","","","","","","","","","","","","","","0","13","",NA,"","","1000","497","","",""
27,"0",NA,"Acetochlor","OPP, EPA HHBP","","34256-82-1","","","","","","190","130","4100","22.1","1.43","3.4","—","—","1.43","9","",NA,"","","1500","140","","",""
28,"",NA,"Acibenzolar-methyl","EPA HHBP","","135158-54-2","","","","","","","","","","","","","","0","13","",NA,"","","2706","541","","",""
29,"0",NA,"Acifluorfen (Sodium)","OPP","","62476-59-9","","","","","","8500","< 1,500","14050","—","> 265","378","—","—","378","10","",NA,"","","","","","",""
30," 10, 13",NA,"Acrolein","Table 40, 20, OPP","","107-02-8","n","0.88","0.93","--","--","7","11.4","< 15.5","7.1","28","72","3","3","0.88","1","",NA,"--","--","","","6240","62400","34125"
31,"",3,"Acrylonitrile","Table 40, 20","","107131","y","0.018","0.025","--","--","","","","","","","","","0.018","1","",NA,"--","--","","","0.740740741","7.407407407","4.050925926"
32,"",NA,"ADBAC","EPA HHBP","","68424-85-1","","","","","","","","","","","","","","0","13","",NA,"","","-","3080","","",""
33,"",NA,"Alachlor","Table 40, 20","","","","","","","","900","187","1250","110","1.64","2.3","—","—","1.64","9","2",NA,"0","0","","","","",""
34,"9",NA,"Aldicarb","OPP","","116-06-3","","","","","","26","0.46","10","1","> 5,000","—","—","—","0.46","6","",NA,"","","","","","",""
35,"0",NA,"Aldicarb sulfone","OPP","","1646-88-4","","","","","","21000","—","140","—","—","—","—","—","140","7","",NA,"","","","","","",""
36,"0",NA,"Aldicarb sulfoxide","OPP","","1646-87-3","","","","","","3570","—","21.5","—","—","—","—","—","21.5","7","",NA,"","","","","","",""
37,"",4,"Aldrin","Table 40, 20","","309002","y","0.000005","0.000005","3","--","","","","","","","","","0.000005","1","",NA,"1.3","--","","","0.023529412","0.235294118","0.128676471"
38,"0",NA,"Aliphatic Oils 100 Paraffin Oil","OPP","","64742-54-7","","","","","","> 50,000","—","205","—","—","—","—","—","205","7","",NA,"","","","","","",""
39,"0",NA,"Aliphatic Oils 70 Orchard Spray","OPP","","64742-55-8","","","","","","—","—","1200","—","—","—","—","—","1200","7","",NA,"","","","","","",""
