"Pollutant","lasar.name"
"2,4-D","2,4-D"
"2,4-Dinitrotoluene","2,4-Dinitrotoluene"
"4,4`-DDD","4,4`-DDD"
"4,4`-DDE","4,4`-DDE"
"4,4`-DDT","4,4`-DDT"
"Acenaphthene","Acenaphthene"
"Acrolein","Acrolein"
"Acrylonitrile","Acrylonitrile"
"Aldrin","Aldrin"
"Alkalinity","Alkalinity as Calcium Carbonate"
"alpha-BHC","alpha-BHC"
"Anthracene","Anthracene"
"Antimony, Total recoverable","Antimony"
"Arsenic, Dissolved","Arsenic"
"Arsenic, Total inorganic","Arsenic"
"Arsenic, Total recoverable","Arsenic"
"Azinphos methyl","Azinphos Methyl"
"Barium, Total recoverable","Barium"
"Benzene","Benzene"
"Benzidine","Benzidine"
"Benzo(a)anthracene","Benzo(a)anthracene"
"Benzo(a)pyrene","Benzo(a)pyrene"
"Benzo[b]fluoranthene","Benzo[b]fluoranthene"
"Benzo[k]fluoranthene","Benzo[k]fluoranthene"
"beta-BHC","beta-BHC"
"Bis(2-ethylhexyl)phthalate","Bis(2-ethylhexyl)phthalate"
"Bromoform","Bromoform"
"Butylbenzylphthalate","Butylbenzylphthalate"
"Cadmium, Dissolved","Cadmium"
"Carbon Tetrachloride","Carbon Tetrachloride"
"Chlordane","Chlordane"
"Chloride","Chloride"
"Chlorine","Chlorine"
"Chlorobenzene","Chlorobenzene"
"Chlorodibromomethane","Dibromochloromethane"
"Chloroethyl Ether bis 2","Bis(2-chloroethyl)ether"
"Chloroform","Chloroform"
"Chloroisopropyl Ether bis 2","Bis(2-chloroisopropyl) ether"
"Chloromethyl ether, bis","bis(Chloromethyl)ether"
"Chloronaphthalene 2","2-Chloronaphthalene"
"Chlorophenol 2","2-Chlorophenol"
"Chlorophenoxy Herbicide (2,4,5,-TP)","Silvex"
"Chlorpyrifos (Dursban)","Chlorpyrifos (Dursban)"
"Chromium (Hex)","Chromium, hexavalent"
"Chromium, Dissolved","Chromium"
"Chrysene","Chrysene"
"Copper, Dissolved","Copper"
"Copper, Total recoverable","Copper"
"Cyanide","Cyanide"
"Demeton","Demeton"
"Di-n-butyl Phthalate","di-n-Butylphthalate"
"Dibenz[a,h]anthracene","Dibenz[a,h]anthracene"
"Dichlorobenzene(m) 1,3","1,3-Dichlorobenzene"
"Dichlorobenzene(o) 1,2","1,2-Dichlorobenzene"
"Dichlorobenzene(p) 1,4","1,4-Dichlorobenzene"
"Dichlorobenzidine 3,3'","3,3`-Dichlorobenzidine"
"Dichlorobromomethane","Bromodichloromethane"
"Dichloroethane 1,2","1,2-Dichloroethane"
"Dichloroethylene 1,1","1,1-Dichloroethylene"
"Dichloroethylene trans 1,2","trans-1,2-Dichloroethylene"
"Dichlorophenol 2,4","2,4-Dichlorophenol"
"Dichloropropane 1,2","1,2-Dichloropropane"
"Dichloropropene 1,3","1,3-Dichloropropene"
"Dieldrin","Dieldrin"
"Diethylphthalate","Diethylphthalate"
"Dimethylphenol 2,4","2,4-Dimethylphenol"
"Dimethylphthalate","Dimethylphthalate"
"Dinitrophenol 2,4","2,4-Dinitrophenol"
"Dinitrophenols","Dinitrophenol"
"Dioxin (2,3,7,8-TCDD)","2,3,7,8-TCDD"
"Diphenylhydrazine 1,2","1,2-Diphenylhydrazine"
"Endosulfan","5-Norbornene-2, 3-dimethanol, 1,4,5,6,7,7-hexachloro cyclic sulfite"
"Endosulfan I","Endosulfan I"
"Endosulfan II","Endosulfan II"
"Endosulfan Sulfate","Endosulfan sulfate"
"Endrin","Endrin"
"Endrin Aldehyde","Endrin Aldehyde"
"Ethylbenzene","Ethylbenzene"
"Fluoranthene","Fluoranthene"
"Fluorene","Fluorene"
"Guthion","Guthion"
"Heptachlor","Heptachlor"
"Heptachlor Epoxide","Heptachlor epoxide"
"Hexachlorobenzene","Hexachlorobenzene"
"Hexachlorobutadiene","Hexachlorobutadiene"
"Hexachlorocyclo-hexane-Technical","HCH"
"Hexachlorocyclopentadiene","Hexachlorocyclopentadiene"
"Hexachloroethane","Hexachloroethane"
"Indeno[1,2,3-cd]pyrene","Indeno[1,2,3-cd]pyrene"
"Iron, Total recoverable","Iron"
"Isophorone","Isophorone"
"Lead, Dissolved","Lead"
"Lindane","Lindane"
"Malathion","Malathion"
"Manganese, Total recoverable","Manganese"
